Year,Region,16-24 unemployment rate,,,,,,,,,,,,,,,,,,
2011,North West,22.5,,,,,,,,,,,,,,,,,,
2012,North West,21.8,,,,,,,,,,,,,,,,,,
2013,North West,20.7,,,,,,,,,,,,,,,,,,
2014,North West,18.6,,,,,,,,,,,,,,,,,,
2015,North West,13.9,,,,,,,,,,,,,,,,,,
2016,North West,12.9,,,,,,,,,,,,,,,,,,
2017,North West,12.8,,,,,,,,,,,,,,,,,,
2018,North West,11.6,,,,,,,,,,,,,,,,,,
2019,North West,13.2,,,,,,,,,,,,,,,,,,
2020,North West,12.0,,,,,,,,,,,,,,,,,,
2004,Northern Ireland,12.6,,,,,,,,,,,,,,,,,,
2005,Northern Ireland,9.6,,,,,,,,,,,,,,,,,,
2006,Northern Ireland,11.5,,,,,,,,,,,,,,,,,,
2007,Northern Ireland,10.1,,,,,,,,,,,,,,,,,,
2008,Northern Ireland,11.1,,,,,,,,,,,,,,,,,,
2009,Northern Ireland,16.8,,,,,,,,,,,,,,,,,,
2010,Northern Ireland,18.6,,,,,,,,,,,,,,,,,,
2011,Northern Ireland,18.8,,,,,,,,,,,,,,,,,,
2012,Northern Ireland,19.2,,,,,,,,,,,,,,,,,,
2013,Northern Ireland,21.4,,,,,,,,,,,,,,,,,,
2014,Northern Ireland,18.7,,,,,,,,,,,,,,,,,,
2015,Northern Ireland,18.2,,,,,,,,,,,,,,,,,,
2016,Northern Ireland,16.8,,,,,,,,,,,,,,,,,,
2017,Northern Ireland,11.2,,,,,,,,,,,,,,,,,,
2018,Northern Ireland,8.0,,,,,,,,,,,,,,,,,,
2019,Northern Ireland,7.7,,,,,,,,,,,,,,,,,,
2020,Northern Ireland,5.5,,,,,,,,,,,,,,,,,,
2004,Scotland,12.5,,,,,,,,,,,,,,,,,,
2005,Scotland,13.3,,,,,,,,,,,,,,,,,,
2006,Scotland,13.0,,,,,,,,,,,,,,,,,,
2007,Scotland,12.3,,,,,,,,,,,,,,,,,,
2008,Scotland,13.6,,,,,,,,,,,,,,,,,,
2009,Scotland,16.6,,,,,,,,,,,,,,,,,,
2010,Scotland,18.5,,,,,,,,,,,,,,,,,,
2011,Scotland,21.8,,,,,,,,,,,,,,,,,,
2012,Scotland,20.5,,,,,,,,,,,,,,,,,,
2013,Scotland,20.5,,,,,,,,,,,,,,,,,,
2014,Scotland,17.1,,,,,,,,,,,,,,,,,,
2015,Scotland,14.4,,,,,,,,,,,,,,,,,,
2016,Scotland,11.8,,,,,,,,,,,,,,,,,,
2017,Scotland,9.2,,,,,,,,,,,,,,,,,,
2018,Scotland,9.6,,,,,,,,,,,,,,,,,,
2019,Scotland,8.3,,,,,,,,,,,,,,,,,,
2020,Scotland,13.5,,,,,,,,,,,,,,,,,,
2004,South East,9.6,,,,,,,,,,,,,,,,,,
2005,South East,10.1,,,,,,,,,,,,,,,,,,
2006,South East,11.6,,,,,,,,,,,,,,,,,,
2007,South East,11.8,,,,,,,,,,,,,,,,,,
2008,South East,12.8,,,,,,,,,,,,,,,,,,
2009,South East,16.1,,,,,,,,,,,,,,,,,,
2010,South East,16.7,,,,,,,,,,,,,,,,,,
2011,South East,16.7,,,,,,,,,,,,,,,,,,
2012,South East,17.0,,,,,,,,,,,,,,,,,,
2013,South East,15.8,,,,,,,,,,,,,,,,,,
2014,South East,14.0,,,,,,,,,,,,,,,,,,
2015,South East,12.6,,,,,,,,,,,,,,,,,,
2016,South East,12.4,,,,,,,,,,,,,,,,,,
2017,South East,10.4,,,,,,,,,,,,,,,,,,
2018,South East,10.6,,,,,,,,,,,,,,,,,,
2019,South East,9.0,,,,,,,,,,,,,,,,,,
2020,South East,12.2,,,,,,,,,,,,,,,,,,
2004,South West,8.5,,,,,,,,,,,,,,,,,,
2005,South West,9.2,,,,,,,,,,,,,,,,,,
2006,South West,10.2,,,,,,,,,,,,,,,,,,
2007,South West,10.5,,,,,,,,,,,,,,,,,,
2008,South West,9.9,,,,,,,,,,,,,,,,,,
2009,South West,15.1,,,,,,,,,,,,,,,,,,
2010,South West,16.3,,,,,,,,,,,,,,,,,,
2011,South West,15.7,,,,,,,,,,,,,,,,,,
2012,South West,16.5,,,,,,,,,,,,,,,,,,
2013,South West,16.5,,,,,,,,,,,,,,,,,,
2014,South West,15.2,,,,,,,,,,,,,,,,,,
2015,South West,11.7,,,,,,,,,,,,,,,,,,
2016,South West,12.5,,,,,,,,,,,,,,,,,,
2017,South West,9.7,,,,,,,,,,,,,,,,,,
2018,South West,9.0,,,,,,,,,,,,,,,,,,
2019,South West,9.1,,,,,,,,,,,,,,,,,,
2020,South West,13.8,,,,,,,,,,,,,,,,,,
2004,Wales,13.2,,,,,,,,,,,,,,,,,,
2005,Wales,14.4,,,,,,,,,,,,,,,,,,
2006,Wales,14.0,,,,,,,,,,,,,,,,,,
2007,Wales,14.4,,,,,,,,,,,,,,,,,,
2008,Wales,17.6,,,,,,,,,,,,,,,,,,
2009,Wales,19.9,,,,,,,,,,,,,,,,,,
2010,Wales,22.6,,,,,,,,,,,,,,,,,,
2011,Wales,22.8,,,,,,,,,,,,,,,,,,
2012,Wales,23.5,,,,,,,,,,,,,,,,,,
2013,Wales,21.1,,,,,,,,,,,,,,,,,,
2014,Wales,17.4,,,,,,,,,,,,,,,,,,
2015,Wales,17.5,,,,,,,,,,,,,,,,,,
2016,Wales,12.7,,,,,,,,,,,,,,,,,,
2017,Wales,13.5,,,,,,,,,,,,,,,,,,
2018,Wales,14.0,,,,,,,,,,,,,,,,,,
2019,Wales,12.0,,,,,,,,,,,,,,,,,,
2020,Wales,10.9,,,,,,,,,,,,,,,,,,
2004,West Midlands,13.8,,,,,,,,,,,,,,,,,,
2005,West Midlands,13.7,,,,,,,,,,,,,,,,,,
2006,West Midlands,15.1,,,,,,,,,,,,,,,,,,
2007,West Midlands,16.1,,,,,,,,,,,,,,,,,,
2008,West Midlands,17.2,,,,,,,,,,,,,,,,,,
2009,West Midlands,22.0,,,,,,,,,,,,,,,,,,
2010,West Midlands,21.3,,,,,,,,,,,,,,,,,,
2011,West Midlands,25.4,,,,,,,,,,,,,,,,,,
2012,West Midlands,22.0,,,,,,,,,,,,,,,,,,
2013,West Midlands,22.3,,,,,,,,,,,,,,,,,,
2014,West Midlands,18.3,,,,,,,,,,,,,,,,,,
2015,West Midlands,15.5,,,,,,,,,,,,,,,,,,
2016,West Midlands,14.9,,,,,,,,,,,,,,,,,,
2017,West Midlands,15.6,,,,,,,,,,,,,,,,,,
2018,West Midlands,14.7,,,,,,,,,,,,,,,,,,
2019,West Midlands,13.0,,,,,,,,,,,,,,,,,,
2020,West Midlands,14.7,,,,,,,,,,,,,,,,,,
2004,Yorkshire and the Humber,11.6,,,,,,,,,,,,,,,,,,
2005,Yorkshire and the Humber,12.9,,,,,,,,,,,,,,,,,,
2006,Yorkshire and the Humber,13.8,,,,,,,,,,,,,,,,,,
2007,Yorkshire and the Humber,14.0,,,,,,,,,,,,,,,,,,
2008,Yorkshire and the Humber,16.2,,,,,,,,,,,,,,,,,,
2009,Yorkshire and the Humber,19.3,,,,,,,,,,,,,,,,,,
2010,Yorkshire and the Humber,19.9,,,,,,,,,,,,,,,,,,
2011,Yorkshire and the Humber,24.8,,,,,,,,,,,,,,,,,,
2012,Yorkshire and the Humber,24.8,,,,,,,,,,,,,,,,,,
2013,Yorkshire and the Humber,23.1,,,,,,,,,,,,,,,,,,
2014,Yorkshire and the Humber,19.5,,,,,,,,,,,,,,,,,,
2015,Yorkshire and the Humber,14.9,,,,,,,,,,,,,,,,,,
2016,Yorkshire and the Humber,13.2,,,,,,,,,,,,,,,,,,
2017,Yorkshire and the Humber,12.7,,,,,,,,,,,,,,,,,,
2018,Yorkshire and the Humber,10.4,,,,,,,,,,,,,,,,,,
2019,Yorkshire and the Humber,12.2,,,,,,,,,,,,,,,,,,
2020,Yorkshire and the Humber,9.9,,,,,,,,,,,,,,,,,,
