year,country,value,value2,,,,,
2015,Austria,0.071,7.101,,,,,
2015,Belgium,0.032,3.223,,,,,
2015,Bulgaria,0.018,1.751,,,,,
2015,Cyprus,0.002,0.173,,,,,
2015,Czech Republic,0.001,0.094,,,,,
2015,Germany,0.341,34.148,,,,,
2015,Denmark,0.017,1.659,,,,,
2015,Estonia,0.000,0.015,,,,,
2015,Spain,0.013,1.254,,,,,
2015,Finland,0.028,2.759,,,,,
2015,France,0.054,5.428,,,,,
2015,Greece,0.010,0.950,,,,,
2015,Croatia,0.000,0.007,,,,,
2015,Hungary,0.130,13.000,,,,,
2015,Ireland,0.003,0.262,,,,,
2015,Italy,0.071,7.080,,,,,
2015,Lithuania,0.000,0.021,,,,,
2015,Luxembourg,0.002,0.175,,,,,
2015,Latvia,0.000,0.027,,,,,
2015,Malta,0.001,0.141,,,,,
2015,Netherlands,0.035,3.453,,,,,
2015,Poland,0.009,0.889,,,,,
2015,Portugal,0.001,0.061,,,,,
2015,Romania,0.001,0.094,,,,,
2015,Sweden,0.128,12.810,,,,,
2015,Slovenia,0.000,0.017,,,,,
2015,Slovakia,0.000,0.020,,,,,
2015,United Kingdom,0.034,3.389,,,,,
2016,Austria,0.033,3.314,,,,,
2016,Belgium,0.011,1.104,,,,,
2016,Bulgaria,0.016,1.634,,,,,
2016,Cyprus,0.002,0.237,,,,,
2016,Czech Republic,0.001,0.093,,,,,
2016,Germany,0.599,59.896,,,,,
2016,Denmark,0.005,0.459,,,,,
2016,Estonia,0.000,0.012,,,,,
2016,Spain,0.013,1.315,,,,,
2016,Finland,0.004,0.428,,,,,
2016,France,0.060,6.032,,,,,
2016,Greece,0.042,4.246,,,,,
2016,Croatia,0.002,0.180,,,,,
2016,Hungary,0.024,2.411,,,,,
2016,Ireland,0.002,0.173,,,,,
2016,Italy,0.104,10.384,,,,,
2016,Lithuania,0.000,0.030,,,,,
2016,Luxembourg,0.002,0.150,,,,,
2016,Latvia,0.000,0.027,,,,,
2016,Malta,0.001,0.143,,,,,
2016,Netherlands,0.015,1.541,,,,,
2016,Poland,0.008,0.837,,,,,
2016,Portugal,0.000,0.040,,,,,
2016,Romania,0.001,0.148,,,,,
2016,Sweden,0.018,1.780,,,,,
2016,Slovenia,0.001,0.102,,,,,
2016,Slovakia,0.000,0.005,,,,,
2016,United Kingdom,0.033,3.277,,,,,
2017,Austria,0.034,3.400,,,,,
2017,Belgium,0.020,2.039,,,,,
2017,Bulgaria,0.005,0.541,,,,,
2017,Cyprus,0.007,0.695,,,,,
2017,Czech Republic,0.002,0.160,,,,,
2017,Germany,0.304,30.419,,,,,
2017,Denmark,0.004,0.439,,,,,
2017,Estonia,0.000,0.023,,,,,
2017,Spain,0.052,5.171,,,,,
2017,Finland,0.006,0.639,,,,,
2017,France,0.134,13.392,,,,,
2017,Greece,0.088,8.754,,,,,
2017,Croatia,0.001,0.133,,,,,
2017,Hungary,0.005,0.489,,,,,
2017,Ireland,0.004,0.422,,,,,
2017,Italy,0.201,20.053,,,,,
2017,Lithuania,0.001,0.073,,,,,
2017,Luxembourg,0.003,0.327,,,,,
2017,Latvia,0.001,0.052,,,,,
2017,Malta,0.002,0.240,,,,,
2017,Netherlands,0.024,2.403,,,,,
2017,Poland,0.005,0.459,,,,,
2017,Portugal,0.001,0.101,,,,,
2017,Romania,0.007,0.728,,,,,
2017,Sweden,0.033,3.299,,,,,
2017,Slovenia,0.002,0.208,,,,,
2017,Slovakia,0.000,0.014,,,,,
2017,United Kingdom,0.053,5.327,,,,,
2018,Austria,0.019,1.895,,,,,
2018,Belgium,0.029,2.918,,,,,
2018,Bulgaria,0.004,0.418,,,,,
2018,Cyprus,0.013,1.294,,,,,
2018,Czech Republic,0.002,0.207,,,,,
2018,Germany,0.270,27.009,,,,,
2018,Denmark,0.005,0.528,,,,,
2018,Estonia,0.000,0.009,,,,,
2018,Spain,0.091,9.105,,,,,
2018,Finland,0.004,0.444,,,,,
2018,France,0.205,20.526,,,,,
2018,Greece,0.109,10.935,,,,,
2018,Croatia,0.001,0.104,,,,,
2018,Hungary,0.001,0.103,,,,,
2018,Ireland,0.006,0.580,,,,,
2018,Italy,0.091,9.080,,,,,
2018,Lithuania,0.001,0.057,,,,,
2018,Luxembourg,0.003,0.341,,,,,
2018,Latvia,0.000,0.022,,,,,
2018,Malta,0.003,0.333,,,,,
2018,Netherlands,0.034,3.379,,,,,
2018,Poland,0.004,0.399,,,,,
2018,Portugal,0.002,0.171,,,,,
2018,Romania,0.003,0.322,,,,,
2018,Sweden,0.029,2.935,,,,,
2018,Slovenia,0.005,0.461,,,,,
2018,Slovakia,0.000,0.020,,,,,
2018,United Kingdom,0.064,6.405,,,,,
2019,Austria,0.016,1.615,,,,,
2019,Belgium,0.034,3.376,,,,,
2019,Bulgaria,0.003,0.307,,,,,
2019,Cyprus,0.019,1.893,,,,,
2019,Czech Republic,0.002,0.224,,,,,
2019,Germany,0.212,21.167,,,,,
2019,Denmark,0.003,0.341,,,,,
2019,Estonia,0.000,0.008,,,,,
2019,Spain,0.177,17.734,,,,,
2019,Finland,0.003,0.323,,,,,
2019,France,0.201,20.063,,,,,
2019,Greece,0.109,10.923,,,,,
2019,Croatia,0.002,0.185,,,,,
2019,Hungary,0.001,0.069,,,,,
2019,Ireland,0.007,0.686,,,,,
2019,Italy,0.053,5.326,,,,,
2019,Lithuania,0.001,0.083,,,,,
2019,Luxembourg,0.003,0.309,,,,,
2019,Latvia,0.000,0.019,,,,,
2019,Malta,0.006,0.598,,,,,
2019,Netherlands,0.033,3.285,,,,,
2019,Poland,0.004,0.406,,,,,
2019,Portugal,0.002,0.222,,,,,
2019,Romania,0.004,0.356,,,,,
2019,Sweden,0.033,3.309,,,,,
2019,Slovenia,0.005,0.547,,,,,
2019,Slovakia,0.000,0.029,,,,,
2019,United Kingdom,0.066,6.599,,,,,
2020,Austria,0.030,3.028,,,,,
2020,Belgium,0.029,2.871,,,,,
2020,Bulgaria,0.008,0.795,,,,,
2020,Cyprus,0.015,1.546,,,,,
2020,Czech Republic,0.002,0.162,,,,,
2020,Germany,0.231,23.085,,,,,
2020,Denmark,0.003,0.280,,,,,
2020,Estonia,0.000,0.005,,,,,
2020,Spain,0.204,20.357,,,,,
2020,Finland,0.003,0.295,,,,,
2020,France,0.181,18.069,,,,,
2020,Greece,0.084,8.435,,,,,
2020,Croatia,0.004,0.352,,,,,
2020,Hungary,0.000,0.013,,,,,
2020,Ireland,0.003,0.306,,,,,
2020,Italy,0.049,4.931,,,,,
2020,Lithuania,0.001,0.052,,,,,
2020,Luxembourg,0.003,0.267,,,,,
2020,Latvia,0.000,0.022,,,,,
2020,Malta,0.005,0.537,,,,,
2020,Netherlands,0.030,3.015,,,,,
2020,Poland,0.003,0.329,,,,,
2020,Portugal,0.002,0.171,,,,,
2020,Romania,0.014,1.395,,,,,
2020,Sweden,0.030,2.981,,,,,
2020,Slovenia,0.008,0.802,,,,,
2020,Slovakia,0.001,0.058,,,,,
2020,United Kingdom,0.058,5.843,,,,,
