date,measure,value
2017-01-01,Private sector average,0.93
2017-02-01,Private sector average,0.97
2017-03-01,Private sector average,0.97
2017-04-01,Private sector average,0.67
2017-05-01,Private sector average,0.4
2017-06-01,Private sector average,0.43
2017-07-01,Private sector average,0.8
2017-08-01,Private sector average,1.23
2017-09-01,Private sector average,1.2
2017-10-01,Private sector average,0.77
2017-11-01,Private sector average,0.7
2017-12-01,Private sector average,1.03
2018-01-01,Private sector average,1.37
2018-02-01,Private sector average,1
2018-03-01,Private sector average,0.9
2018-04-01,Private sector average,1.17
2018-05-01,Private sector average,1.37
2018-06-01,Private sector average,1.3
2018-07-01,Private sector average,1.33
2018-08-01,Private sector average,1.17
2018-09-01,Private sector average,1.43
2018-10-01,Private sector average,1.77
2018-11-01,Private sector average,1.6
2018-12-01,Private sector average,1.63
2019-01-01,Private sector average,2.03
2019-02-01,Private sector average,2.5
2019-03-01,Private sector average,2.33
2019-04-01,Private sector average,2
2019-05-01,Private sector average,1.9
2019-06-01,Private sector average,1.97
2019-07-01,Private sector average,2.4
2019-08-01,Private sector average,2.47
2019-09-01,Private sector average,2.57
2019-10-01,Private sector average,2.8
2019-11-01,Private sector average,2.97
2019-12-01,Private sector average,3.03
2020-01-01,Private sector average,2.8
2020-02-01,Private sector average,2.57
2020-03-01,Private sector average,2.57
2020-04-01,Private sector average,2.53
2020-05-01,Private sector average,2.2
2020-06-01,Private sector average,1.53
2020-07-01,Private sector average,0.77
2020-08-01,Private sector average,0.87
2020-09-01,Private sector average,0.93
2020-10-01,Private sector average,0.9
2020-11-01,Private sector average,1.1
2020-12-01,Private sector average,0.97
2021-01-01,Private sector average,1
2021-02-01,Private sector average,1.03
2021-03-01,Private sector average,1.27
2021-04-01,Private sector average,2.13
2021-05-01,Private sector average,2.67
2021-06-01,Private sector average,3.6
2021-07-01,Private sector average,5.37
2021-08-01,Private sector average,5.93
2021-09-01,Private sector average,6.53
2021-10-01,Private sector average,8.3
2021-11-01,Private sector average,8.7
2021-12-01,Private sector average,9
2022-01-01,Private sector average,9.87
2022-02-01,Private sector average,10.17
2022-03-01,Private sector average,10.2
