Time,Value,Case,Detail
95,0.657403199,Both A and B healthy,
96,0.661904596,Both A and B healthy,
97,0.666377432,Both A and B healthy,
98,0.67082106,Both A and B healthy,
99,0.675234853,Both A and B healthy,
100,0.679618206,Both A and B healthy,
101,0.683970536,Both A and B healthy,
102,0.688291282,Both A and B healthy,
103,0.692579905,Both A and B healthy,
104,0.696835889,Both A and B healthy,
105,0.701058739,Both A and B healthy,
106,0.705247981,Both A and B healthy,
107,0.709403166,Both A and B healthy,
108,0.713523864,Both A and B healthy,
109,0.717609668,Both A and B healthy,
110,0.721660193,Both A and B healthy,
111,0.725675075,Both A and B healthy,
112,0.729653971,Both A and B healthy,
113,0.733596561,Both A and B healthy,
114,0.737502544,Both A and B healthy,
115,0.741371641,Both A and B healthy,
116,0.745203593,Both A and B healthy,
117,0.748998162,Both A and B healthy,
118,0.752755129,Both A and B healthy,
119,0.756474297,Both A and B healthy,
120,0.760155487,Both A and B healthy,
121,0.763798538,Both A and B healthy,
122,0.767403311,Both A and B healthy,
123,0.770969684,Both A and B healthy,
124,0.774497553,Both A and B healthy,
125,0.777986832,Both A and B healthy,
126,0.781437454,Both A and B healthy,
127,0.784849367,Both A and B healthy,
128,0.788222539,Both A and B healthy,
129,0.79155695,Both A and B healthy,
130,0.794852602,Both A and B healthy,
131,0.798109507,Both A and B healthy,
132,0.801327696,Both A and B healthy,
133,0.804507214,Both A and B healthy,
134,0.80764812,Both A and B healthy,
135,0.810750488,Both A and B healthy,
136,0.813814405,Both A and B healthy,
137,0.816839973,Both A and B healthy,
138,0.819827304,Both A and B healthy,
139,0.822776526,Both A and B healthy,
140,0.825687776,Both A and B healthy,
141,0.828561204,Both A and B healthy,
142,0.831396974,Both A and B healthy,
143,0.834195255,Both A and B healthy,
144,0.836956232,Both A and B healthy,
145,0.839680098,Both A and B healthy,
146,0.842367056,Both A and B healthy,
147,0.845017317,Both A and B healthy,
148,0.847631103,Both A and B healthy,
149,0.850208644,Both A and B healthy,
150,0.852750177,Both A and B healthy,
151,0.855255948,Both A and B healthy,
152,0.85772621,Both A and B healthy,
153,0.860161224,Both A and B healthy,
154,0.862561256,Both A and B healthy,
155,0.86492658,Both A and B healthy,
156,0.867257475,Both A and B healthy,
157,0.869554227,Both A and B healthy,
158,0.871817124,Both A and B healthy,
159,0.874046464,Both A and B healthy,
160,0.876242546,Both A and B healthy,
161,0.878405675,Both A and B healthy,
162,0.880536158,Both A and B healthy,
163,0.882634309,Both A and B healthy,
164,0.884700444,Both A and B healthy,
165,0.886734881,Both A and B healthy,
166,0.888737942,Both A and B healthy,
167,0.890709952,Both A and B healthy,
168,0.892651238,Both A and B healthy,
169,0.89456213,Both A and B healthy,
170,0.896442957,Both A and B healthy,
171,0.898294054,Both A and B healthy,
172,0.900115753,Both A and B healthy,
173,0.901908391,Both A and B healthy,
174,0.903672303,Both A and B healthy,
175,0.905407826,Both A and B healthy,
176,0.907115298,Both A and B healthy,
177,0.908795057,Both A and B healthy,
178,0.910447441,Both A and B healthy,
179,0.912072787,Both A and B healthy,
180,0.913671434,Both A and B healthy,
181,0.915243718,Both A and B healthy,
182,0.916789978,Both A and B healthy,
183,0.918310547,Both A and B healthy,
184,0.919805763,Both A and B healthy,
185,0.921275959,Both A and B healthy,
186,0.922721469,Both A and B healthy,
187,0.924142623,Both A and B healthy,
188,0.925539753,Both A and B healthy,
189,0.926913187,Both A and B healthy,
190,0.928263253,Both A and B healthy,
191,0.929590276,Both A and B healthy,
192,0.93089458,Both A and B healthy,
193,0.932176486,Both A and B healthy,
194,0.933436314,Both A and B healthy,
195,0.934674382,Both A and B healthy,
196,0.935891004,Both A and B healthy,
197,0.937086494,Both A and B healthy,
198,0.938261162,Both A and B healthy,
199,0.939415317,Both A and B healthy,
200,0.940549263,Both A and B healthy,
201,0.941663305,Both A and B healthy,
1,0.5,"A infected, B healthy",
2,0.469687539,"A infected, B healthy",
3,0.441342675,"A infected, B healthy",
4,0.414820498,"A infected, B healthy",
5,0.389988842,"A infected, B healthy",
6,0.366726925,"A infected, B healthy",
7,0.344924169,"A infected, B healthy",
8,0.324479156,"A infected, B healthy",
9,0.305298717,"A infected, B healthy",
10,0.287297125,"A infected, B healthy",
11,0.270395382,"A infected, B healthy",
12,0.254520591,"A infected, B healthy",
13,0.239605388,"A infected, B healthy",
14,0.22558745,"A infected, B healthy",
15,0.212409041,"A infected, B healthy",
16,0.20001662,"A infected, B healthy",
17,0.188360474,"A infected, B healthy",
18,0.177394406,"A infected, B healthy",
19,0.167075437,"A infected, B healthy",
20,0.15736355,"A infected, B healthy",
21,0.148221448,"A infected, B healthy",
22,0.139614345,"A infected, B healthy",
23,0.131509771,"A infected, B healthy",
24,0.123877392,"A infected, B healthy",
25,0.116688854,"A infected, B healthy",
26,0.109917632,"A infected, B healthy",
27,0.103538899,"A infected, B healthy",
28,0.097529404,"A infected, B healthy",
29,0.091867359,"A infected, B healthy",
30,0.086532335,"A infected, B healthy",
31,0.081505171,"A infected, B healthy",
32,0.076767883,"A infected, B healthy",
33,0.072303587,"A infected, B healthy",
34,0.068096425,"A infected, B healthy",
35,0.064131496,"A infected, B healthy",
36,0.060394793,"A infected, B healthy",
37,0.056873147,"A infected, B healthy",
38,0.05355417,"A infected, B healthy",
39,0.050426207,"A infected, B healthy",
40,0.047478291,"A infected, B healthy",
41,0.044700096,"A infected, B healthy",
42,0.042081899,"A infected, B healthy",
43,0.039614545,"A infected, B healthy",
44,0.037289409,"A infected, B healthy",
45,0.035098364,"A infected, B healthy",
46,0.033033753,"A infected, B healthy",
47,0.03108836,"A infected, B healthy",
48,0.029255381,"A infected, B healthy",
49,0.027528403,"A infected, B healthy",
50,0.02590138,"A infected, B healthy",
51,0.024368609,"A infected, B healthy",
52,0.022924713,"A infected, B healthy",
53,0.021564622,"A infected, B healthy",
54,0.020283551,"A infected, B healthy",
55,0.019076989,"A infected, B healthy",
56,0.017940679,"A infected, B healthy",
57,0.016870606,"A infected, B healthy",
58,0.015862982,"A infected, B healthy",
59,0.014914233,"A infected, B healthy",
60,0.014020989,"A infected, B healthy",
61,0.013180066,"A infected, B healthy",
62,0.012388465,"A infected, B healthy",
63,0.011643353,"A infected, B healthy",
64,0.010942059,"A infected, B healthy",
65,0.010282061,"A infected, B healthy",
66,0.009660982,"A infected, B healthy",
67,0.009076578,"A infected, B healthy",
68,0.008526731,"A infected, B healthy",
69,0.008009446,"A infected, B healthy",
70,0.007522837,"A infected, B healthy",
71,0.007065128,"A infected, B healthy",
72,0.006634643,"A infected, B healthy",
73,0.006229799,"A infected, B healthy",
74,0.005849106,"A infected, B healthy",
75,0.005491158,"A infected, B healthy",
76,0.005154627,"A infected, B healthy",
77,0.004838262,"A infected, B healthy",
78,0.004540885,"A infected, B healthy",
79,0.004261382,"A infected, B healthy",
80,0.003998705,"A infected, B healthy",
81,0.003751866,"A infected, B healthy",
82,0.003519932,"A infected, B healthy",
83,0.003302025,"A infected, B healthy",
84,0.003097318,"A infected, B healthy",
85,0.002905028,"A infected, B healthy",
86,0.002724422,"A infected, B healthy",
87,0.002554807,"A infected, B healthy",
88,0.002395528,"A infected, B healthy",
89,0.002245972,"A infected, B healthy",
90,0.002105559,"A infected, B healthy",
91,0.001973743,"A infected, B healthy",
92,0.00185001,"A infected, B healthy",
93,0.001733876,"A infected, B healthy",
94,0.001624886,"A infected, B healthy",
95,0.001522609,"A infected, B healthy",
96,0.001426642,"A infected, B healthy",
97,0.001336604,"A infected, B healthy",
98,0.001252138,"A infected, B healthy",
99,0.001172907,"A infected, B healthy",
100,0.001098593,"A infected, B healthy",
101,0.001028898,"A infected, B healthy",
102,0.000963541,"A infected, B healthy",
103,0.000902258,"A infected, B healthy",
104,0.000844801,"A infected, B healthy",
105,0.000790936,"A infected, B healthy",
106,0.000740443,"A infected, B healthy",
107,0.000693116,"A infected, B healthy",
108,0.000648761,"A infected, B healthy",
109,0.000607194,"A infected, B healthy",
110,0.000568244,"A infected, B healthy",
111,0.00053175,"A infected, B healthy",
112,0.00049756,"A infected, B healthy",
113,0.000465531,"A infected, B healthy",
114,0.00043553,"A infected, B healthy",
115,0.00040743,"A infected, B healthy",
116,0.000381115,"A infected, B healthy",
117,0.000356471,"A infected, B healthy",
118,0.000333396,"A infected, B healthy",
119,0.000311791,"A infected, B healthy",
120,0.000291565,"A infected, B healthy",
121,0.000272631,"A infected, B healthy",
122,0.000254907,"A infected, B healthy",
123,0.000238319,"A infected, B healthy",
124,0.000222795,"A infected, B healthy",
125,0.000208267,"A infected, B healthy",
126,0.000194673,"A infected, B healthy",
127,0.000181953,"A infected, B healthy",
128,0.000170054,"A infected, B healthy",
129,0.000158921,"A infected, B healthy",
130,0.000148508,"A infected, B healthy",
131,0.000138768,"A infected, B healthy",
132,0.000129658,"A infected, B healthy",
133,0.000121139,"A infected, B healthy",
134,0.000113172,"A infected, B healthy",
135,0.000105722,"A infected, B healthy",
136,0,"A infected, B healthy",
137,0,"A infected, B healthy",
138,0,"A infected, B healthy",
139,0,"A infected, B healthy",
140,0,"A infected, B healthy",
141,0,"A infected, B healthy",
142,0,"A infected, B healthy",
143,0,"A infected, B healthy",
144,0,"A infected, B healthy",
145,0,"A infected, B healthy",
146,0,"A infected, B healthy",
147,0,"A infected, B healthy",
148,0,"A infected, B healthy",
149,0,"A infected, B healthy",
150,0,"A infected, B healthy",
151,0,"A infected, B healthy",
152,0,"A infected, B healthy",
153,0,"A infected, B healthy",
154,0,"A infected, B healthy",
155,0,"A infected, B healthy",
156,0,"A infected, B healthy",
157,0,"A infected, B healthy",
158,0,"A infected, B healthy",
159,0,"A infected, B healthy",
160,0,"A infected, B healthy",
161,0,"A infected, B healthy",
162,0,"A infected, B healthy",
163,0,"A infected, B healthy",
164,0,"A infected, B healthy",
165,0,"A infected, B healthy",
166,0,"A infected, B healthy",
167,0,"A infected, B healthy",
168,0,"A infected, B healthy",
169,0,"A infected, B healthy",
170,0,"A infected, B healthy",
171,0,"A infected, B healthy",
172,0,"A infected, B healthy",
173,0,"A infected, B healthy",
174,0,"A infected, B healthy",
175,0,"A infected, B healthy",
176,0,"A infected, B healthy",
177,0,"A infected, B healthy",
178,0,"A infected, B healthy",
179,0,"A infected, B healthy",
180,0,"A infected, B healthy",
181,0,"A infected, B healthy",
182,0,"A infected, B healthy",
183,0,"A infected, B healthy",
184,0,"A infected, B healthy",
185,0,"A infected, B healthy",
186,0,"A infected, B healthy",
187,0,"A infected, B healthy",
188,0,"A infected, B healthy",
189,0,"A infected, B healthy",
190,0,"A infected, B healthy",
191,0,"A infected, B healthy",
192,0,"A infected, B healthy",
193,0,"A infected, B healthy",
194,0,"A infected, B healthy",
195,0,"A infected, B healthy",
196,0,"A infected, B healthy",
197,0,"A infected, B healthy",
198,0,"A infected, B healthy",
199,0,"A infected, B healthy",
200,0,"A infected, B healthy",
201,0,"A infected, B healthy",
1,0.1,"A healthy, B infected",
2,0.093937508,"A healthy, B infected",
3,0.088268535,"A healthy, B infected",
4,0.0829641,"A healthy, B infected",
5,0.077997768,"A healthy, B infected",
6,0.073345385,"A healthy, B infected",
7,0.068984834,"A healthy, B infected",
8,0.064895831,"A healthy, B infected",
9,0.061059743,"A healthy, B infected",
10,0.057459425,"A healthy, B infected",
11,0.054079076,"A healthy, B infected",
12,0.050904118,"A healthy, B infected",
13,0.047921078,"A healthy, B infected",
14,0.04511749,"A healthy, B infected",
15,0.042481808,"A healthy, B infected",
16,0.040003324,"A healthy, B infected",
17,0.037672095,"A healthy, B infected",
18,0.035478881,"A healthy, B infected",
19,0.033415087,"A healthy, B infected",
20,0.03147271,"A healthy, B infected",
21,0.02964429,"A healthy, B infected",
22,0.027922869,"A healthy, B infected",
23,0.026301954,"A healthy, B infected",
24,0.024775478,"A healthy, B infected",
25,0.023337771,"A healthy, B infected",
26,0.021983526,"A healthy, B infected",
27,0.02070778,"A healthy, B infected",
28,0.019505881,"A healthy, B infected",
29,0.018373472,"A healthy, B infected",
30,0.017306467,"A healthy, B infected",
31,0.016301034,"A healthy, B infected",
32,0.015353577,"A healthy, B infected",
33,0.014460717,"A healthy, B infected",
34,0.013619285,"A healthy, B infected",
35,0.012826299,"A healthy, B infected",
36,0.012078959,"A healthy, B infected",
37,0.011374629,"A healthy, B infected",
38,0.010710834,"A healthy, B infected",
39,0.010085241,"A healthy, B infected",
40,0.009495658,"A healthy, B infected",
41,0.008940019,"A healthy, B infected",
42,0.00841638,"A healthy, B infected",
43,0.007922909,"A healthy, B infected",
44,0.007457882,"A healthy, B infected",
45,0.007019673,"A healthy, B infected",
46,0.006606751,"A healthy, B infected",
47,0.006217672,"A healthy, B infected",
48,0.005851076,"A healthy, B infected",
49,0.005505681,"A healthy, B infected",
50,0.005180276,"A healthy, B infected",
51,0.004873722,"A healthy, B infected",
52,0.004584943,"A healthy, B infected",
53,0.004312924,"A healthy, B infected",
54,0.00405671,"A healthy, B infected",
55,0.003815398,"A healthy, B infected",
56,0.003588136,"A healthy, B infected",
57,0.003374121,"A healthy, B infected",
58,0.003172596,"A healthy, B infected",
59,0.002982847,"A healthy, B infected",
60,0.002804198,"A healthy, B infected",
61,0.002636013,"A healthy, B infected",
62,0.002477693,"A healthy, B infected",
63,0.002328671,"A healthy, B infected",
64,0.002188412,"A healthy, B infected",
65,0.002056412,"A healthy, B infected",
66,0.001932196,"A healthy, B infected",
67,0.001815316,"A healthy, B infected",
68,0.001705346,"A healthy, B infected",
69,0.001601889,"A healthy, B infected",
70,0.001504567,"A healthy, B infected",
71,0.001413026,"A healthy, B infected",
72,0.001326929,"A healthy, B infected",
73,0.00124596,"A healthy, B infected",
74,0.001169821,"A healthy, B infected",
75,0.001098232,"A healthy, B infected",
76,0.001030925,"A healthy, B infected",
77,0.000967652,"A healthy, B infected",
78,0.000908177,"A healthy, B infected",
79,0.000852276,"A healthy, B infected",
80,0.000799741,"A healthy, B infected",
81,0.000750373,"A healthy, B infected",
82,0.000703986,"A healthy, B infected",
83,0.000660405,"A healthy, B infected",
84,0.000619464,"A healthy, B infected",
85,0.000581006,"A healthy, B infected",
86,0.000544884,"A healthy, B infected",
87,0.000510961,"A healthy, B infected",
88,0.000479106,"A healthy, B infected",
89,0.000449194,"A healthy, B infected",
90,0.000421112,"A healthy, B infected",
91,0.000394749,"A healthy, B infected",
92,0.000370002,"A healthy, B infected",
93,0.000346775,"A healthy, B infected",
94,0.000324977,"A healthy, B infected",
95,0.000304522,"A healthy, B infected",
96,0.000285328,"A healthy, B infected",
97,0.000267321,"A healthy, B infected",
98,0.000250428,"A healthy, B infected",
99,0.000234581,"A healthy, B infected",
100,0.000219719,"A healthy, B infected",
101,0.00020578,"A healthy, B infected",
102,0.000192708,"A healthy, B infected",
103,0.000180452,"A healthy, B infected",
104,0.00016896,"A healthy, B infected",
105,0.000158187,"A healthy, B infected",
106,0.000148089,"A healthy, B infected",
107,0.000138623,"A healthy, B infected",
108,0.000129752,"A healthy, B infected",
109,0.000121439,"A healthy, B infected",
110,0.000113649,"A healthy, B infected",
111,0.00010635,"A healthy, B infected",
112,0,"A healthy, B infected",
113,0,"A healthy, B infected",
114,0,"A healthy, B infected",
115,0,"A healthy, B infected",
116,0,"A healthy, B infected",
117,0,"A healthy, B infected",
118,0,"A healthy, B infected",
119,0,"A healthy, B infected",
120,0,"A healthy, B infected",
121,0,"A healthy, B infected",
122,0,"A healthy, B infected",
123,0,"A healthy, B infected",
124,0,"A healthy, B infected",
125,0,"A healthy, B infected",
126,0,"A healthy, B infected",
127,0,"A healthy, B infected",
128,0,"A healthy, B infected",
129,0,"A healthy, B infected",
130,0,"A healthy, B infected",
131,0,"A healthy, B infected",
132,0,"A healthy, B infected",
133,0,"A healthy, B infected",
134,0,"A healthy, B infected",
135,0,"A healthy, B infected",
136,0,"A healthy, B infected",
137,0,"A healthy, B infected",
138,0,"A healthy, B infected",
139,0,"A healthy, B infected",
140,0,"A healthy, B infected",
141,0,"A healthy, B infected",
142,0,"A healthy, B infected",
143,0,"A healthy, B infected",
144,0,"A healthy, B infected",
145,0,"A healthy, B infected",
146,0,"A healthy, B infected",
147,0,"A healthy, B infected",
148,0,"A healthy, B infected",
149,0,"A healthy, B infected",
150,0,"A healthy, B infected",
151,0,"A healthy, B infected",
152,0,"A healthy, B infected",
153,0,"A healthy, B infected",
154,0,"A healthy, B infected",
155,0,"A healthy, B infected",
156,0,"A healthy, B infected",
157,0,"A healthy, B infected",
158,0,"A healthy, B infected",
159,0,"A healthy, B infected",
160,0,"A healthy, B infected",
161,0,"A healthy, B infected",
162,0,"A healthy, B infected",
163,0,"A healthy, B infected",
164,0,"A healthy, B infected",
165,0,"A healthy, B infected",
166,0,"A healthy, B infected",
167,0,"A healthy, B infected",
168,0,"A healthy, B infected",
169,0,"A healthy, B infected",
170,0,"A healthy, B infected",
171,0,"A healthy, B infected",
172,0,"A healthy, B infected",
173,0,"A healthy, B infected",
174,0,"A healthy, B infected",
175,0,"A healthy, B infected",
176,0,"A healthy, B infected",
177,0,"A healthy, B infected",
178,0,"A healthy, B infected",
179,0,"A healthy, B infected",
180,0,"A healthy, B infected",
181,0,"A healthy, B infected",
182,0,"A healthy, B infected",
183,0,"A healthy, B infected",
184,0,"A healthy, B infected",
185,0,"A healthy, B infected",
186,0,"A healthy, B infected",
187,0,"A healthy, B infected",
188,0,"A healthy, B infected",
189,0,"A healthy, B infected",
190,0,"A healthy, B infected",
191,0,"A healthy, B infected",
192,0,"A healthy, B infected",
193,0,"A healthy, B infected",
194,0,"A healthy, B infected",
195,0,"A healthy, B infected",
196,0,"A healthy, B infected",
197,0,"A healthy, B infected",
198,0,"A healthy, B infected",
199,0,"A healthy, B infected",
200,0,"A healthy, B infected",
201,0,"A healthy, B infected",
1,0.15,Both A and B infected,
2,0.184017582,Both A and B infected,
3,0.215576817,Both A and B infected,
4,0.24485539,Both A and B infected,
5,0.272015398,Both A and B infected,
6,0.297205013,Both A and B infected,
7,0.320559929,Both A and B infected,
8,0.342204642,Both A and B infected,
9,0.362253566,Both A and B infected,
10,0.380812019,Both A and B infected,
11,0.397977099,Both A and B infected,
12,0.413838457,Both A and B infected,
13,0.428478983,Both A and B infected,
14,0.44197542,Both A and B infected,
15,0.454398911,Both A and B infected,
16,0.465815486,Both A and B infected,
17,0.476286505,Both A and B infected,
18,0.485869048,Both A and B infected,
19,0.494616271,Both A and B infected,
20,0.502577731,Both A and B infected,
21,0.509799667,Both A and B infected,
22,0.51632527,Both A and B infected,
23,0.522194915,Both A and B infected,
24,0.527446381,Both A and B infected,
25,0.532115046,Both A and B infected,
26,0.536234064,Both A and B infected,
27,0.539834535,Both A and B infected,
28,0.542945647,Both A and B infected,
29,0.545594817,Both A and B infected,
30,0.547807816,Both A and B infected,
31,0.549608886,Both A and B infected,
32,0.55102084,Both A and B infected,
33,0.552065168,Both A and B infected,
34,0.552762119,Both A and B infected,
35,0.55313079,Both A and B infected,
36,0.553189199,Both A and B infected,
37,0.552954355,Both A and B infected,
38,0.552442327,Both A and B infected,
39,0.551668304,Both A and B infected,
40,0.550646646,Both A and B infected,
41,0.549390944,Both A and B infected,
42,0.547914063,Both A and B infected,
43,0.546228189,Both A and B infected,
44,0.54434487,Both A and B infected,
45,0.542275058,Both A and B infected,
46,0.54002914,Both A and B infected,
47,0.537616976,Both A and B infected,
48,0.535047931,Both A and B infected,
49,0.532330899,Both A and B infected,
50,0.529474339,Both A and B infected,
51,0.526486291,Both A and B infected,
52,0.523374411,Both A and B infected,
53,0.520145982,Both A and B infected,
54,0.516807943,Both A and B infected,
55,0.513366906,Both A and B infected,
56,0.509829174,Both A and B infected,
57,0.50620076,Both A and B infected,
58,0.502487401,Both A and B infected,
59,0.498694572,Both A and B infected,
60,0.494827505,Both A and B infected,
61,0.490891197,Both A and B infected,
62,0.486890427,Both A and B infected,
63,0.482829764,Both A and B infected,
64,0.47871358,Both A and B infected,
65,0.474546057,Both A and B infected,
66,0.470331202,Both A and B infected,
67,0.466072853,Both A and B infected,
68,0.461774687,Both A and B infected,
69,0.457440227,Both A and B infected,
70,0.453072853,Both A and B infected,
71,0.448675807,Both A and B infected,
72,0.444252198,Both A and B infected,
73,0.439805011,Both A and B infected,
74,0.435337111,Both A and B infected,
75,0.430851249,Both A and B infected,
76,0.426350068,Both A and B infected,
77,0.421836104,Both A and B infected,
78,0.417311796,Both A and B infected,
79,0.412779486,Both A and B infected,
80,0.408241427,Both A and B infected,
81,0.403699781,Both A and B infected,
82,0.399156627,Both A and B infected,
83,0.394613965,Both A and B infected,
84,0.390073714,Both A and B infected,
85,0.38553772,Both A and B infected,
86,0.381007758,Both A and B infected,
87,0.376485532,Both A and B infected,
88,0.371972679,Both A and B infected,
89,0.367470773,Both A and B infected,
90,0.362981322,Both A and B infected,
91,0.358505779,Both A and B infected,
92,0.354045533,Both A and B infected,
93,0.349601922,Both A and B infected,
94,0.345176225,Both A and B infected,
95,0.34076967,Both A and B infected,
96,0.336383434,Both A and B infected,
97,0.332018642,Both A and B infected,
98,0.327676373,Both A and B infected,
99,0.323357658,Both A and B infected,
100,0.319063482,Both A and B infected,
101,0.314794787,Both A and B infected,
102,0.310552469,Both A and B infected,
103,0.306337385,Both A and B infected,
104,0.302150349,Both A and B infected,
105,0.297992138,Both A and B infected,
106,0.293863486,Both A and B infected,
107,0.289765094,Both A and B infected,
108,0.285697623,Both A and B infected,
109,0.281661699,Both A and B infected,
110,0.277657914,Both A and B infected,
111,0.273686825,Both A and B infected,
112,0.269748957,Both A and B infected,
113,0.265844802,Both A and B infected,
114,0.26197482,Both A and B infected,
115,0.258139443,Both A and B infected,
116,0.25433907,Both A and B infected,
117,0.250574073,Both A and B infected,
118,0.246844796,Both A and B infected,
119,0.243151553,Both A and B infected,
120,0.239494636,Both A and B infected,
121,0.235874305,Both A and B infected,
122,0.2322908,Both A and B infected,
123,0.228744333,Both A and B infected,
124,0.225235093,Both A and B infected,
125,0.221763248,Both A and B infected,
126,0.218328939,Both A and B infected,
127,0.214932288,Both A and B infected,
128,0.211573397,Both A and B infected,
129,0.208252344,Both A and B infected,
130,0.204969189,Both A and B infected,
131,0.201723972,Both A and B infected,
132,0.198516714,Both A and B infected,
133,0.19534742,Both A and B infected,
134,0.192216074,Both A and B infected,
135,0.189122646,Both A and B infected,
136,0.186067087,Both A and B infected,
137,0.183049334,Both A and B infected,
138,0.180069308,Both A and B infected,
139,0.177126915,Both A and B infected,
140,0.174222048,Both A and B infected,
141,0.171354586,Both A and B infected,
142,0.168524393,Both A and B infected,
143,0.165731322,Both A and B infected,
144,0.162975214,Both A and B infected,
145,0.160255898,Both A and B infected,
146,0.157573192,Both A and B infected,
147,0.154926902,Both A and B infected,
148,0.152316827,Both A and B infected,
149,0.149742753,Both A and B infected,
150,0.147204458,Both A and B infected,
151,0.144701711,Both A and B infected,
152,0.142234273,Both A and B infected,
153,0.139801898,Both A and B infected,
154,0.137404329,Both A and B infected,
155,0.135041305,Both A and B infected,
156,0.132712559,Both A and B infected,
157,0.130417813,Both A and B infected,
158,0.128156788,Both A and B infected,
159,0.125929197,Both A and B infected,
160,0.123734747,Both A and B infected,
161,0.121573142,Both A and B infected,
162,0.119444081,Both A and B infected,
163,0.117347257,Both A and B infected,
164,0.115282362,Both A and B infected,
165,0.113249082,Both A and B infected,
166,0.1112471,Both A and B infected,
167,0.109276097,Both A and B infected,
168,0.10733575,Both A and B infected,
169,0.105425736,Both A and B infected,
170,0.103545727,Both A and B infected,
171,0.101695394,Both A and B infected,
172,0.099874407,Both A and B infected,
173,0.098082434,Both A and B infected,
174,0.096319142,Both A and B infected,
175,0.094584197,Both A and B infected,
176,0.092877265,Both A and B infected,
177,0.091198009,Both A and B infected,
178,0.089546095,Both A and B infected,
179,0.087921186,Both A and B infected,
180,0.086322948,Both A and B infected,
181,0.084751044,Both A and B infected,
182,0.08320514,Both A and B infected,
183,0.081684902,Both A and B infected,
184,0.080189995,Both A and B infected,
185,0.078720087,Both A and B infected,
186,0.077274846,Both A and B infected,
187,0.075853943,Both A and B infected,
188,0.074457046,Both A and B infected,
189,0.07308383,Both A and B infected,
190,0.071733967,Both A and B infected,
191,0.070407133,Both A and B infected,
192,0.069103006,Both A and B infected,
193,0.067821264,Both A and B infected,
194,0.066561589,Both A and B infected,
195,0.065323664,Both A and B infected,
196,0.064107175,Both A and B infected,
