Nation,Date,Cases by date
Scotland,2020-07-01,11
Scotland,2020-06-30,8
Scotland,2020-06-29,14
Scotland,2020-06-28,3
Scotland,2020-06-27,4
Scotland,2020-06-26,6
Scotland,2020-06-25,19
Scotland,2020-06-24,8
Scotland,2020-06-23,20
Scotland,2020-06-22,11
Scotland,2020-06-21,9
Scotland,2020-06-20,6
Scotland,2020-06-19,23
Scotland,2020-06-18,14
Scotland,2020-06-17,33
Scotland,2020-06-16,17
Scotland,2020-06-15,21
Scotland,2020-06-14,13
Scotland,2020-06-13,23
Scotland,2020-06-12,30
Scotland,2020-06-11,21
Scotland,2020-06-10,29
Scotland,2020-06-09,27
Scotland,2020-06-08,18
Scotland,2020-06-07,17
Scotland,2020-06-06,22
Scotland,2020-06-05,24
Scotland,2020-06-04,35
Scotland,2020-06-03,35
Scotland,2020-06-02,45
Scotland,2020-06-01,38
Scotland,2020-05-31,23
Scotland,2020-05-30,40
Scotland,2020-05-29,29
Scotland,2020-05-28,55
Scotland,2020-05-27,66
Scotland,2020-05-26,77
Scotland,2020-05-25,97
Scotland,2020-05-24,54
Scotland,2020-05-23,50
Scotland,2020-05-22,92
Scotland,2020-05-21,111
Scotland,2020-05-20,121
Scotland,2020-05-19,182
Scotland,2020-05-18,140
Scotland,2020-05-17,92
Scotland,2020-05-16,103
Scotland,2020-05-15,152
Scotland,2020-05-14,212
Scotland,2020-05-13,198
Scotland,2020-05-12,230
Scotland,2020-05-11,262
Scotland,2020-05-10,150
Scotland,2020-05-09,177
Scotland,2020-05-08,254
Scotland,2020-05-07,290
Scotland,2020-05-06,306
Scotland,2020-05-05,289
Scotland,2020-05-04,330
Scotland,2020-05-03,189
Scotland,2020-05-02,217
Scotland,2020-05-01,368
Scotland,2020-04-30,335
Scotland,2020-04-29,430
Scotland,2020-04-28,380
Scotland,2020-04-27,430
Scotland,2020-04-26,172
Scotland,2020-04-25,184
Scotland,2020-04-24,305
Scotland,2020-04-23,314
Scotland,2020-04-22,340
Scotland,2020-04-21,399
Scotland,2020-04-20,776
Scotland,2020-04-19,159
Scotland,2020-04-18,264
Scotland,2020-04-17,394
Scotland,2020-04-16,427
Scotland,2020-04-15,331
Scotland,2020-04-14,346
Scotland,2020-04-13,359
Scotland,2020-04-12,220
Scotland,2020-04-11,185
Scotland,2020-04-10,329
Scotland,2020-04-09,304
Scotland,2020-04-08,343
Scotland,2020-04-07,351
Scotland,2020-04-06,404
Scotland,2020-04-05,225
Scotland,2020-04-04,259
Scotland,2020-04-03,379
Scotland,2020-04-02,351
Scotland,2020-04-01,388
Scotland,2020-03-31,340
Scotland,2020-03-30,320
Scotland,2020-03-29,197
Scotland,2020-03-28,205
Scotland,2020-03-27,274
Scotland,2020-03-26,223
Scotland,2020-03-25,188
Scotland,2020-03-24,168
Scotland,2020-03-23,138
Scotland,2020-03-22,75
Scotland,2020-03-21,66
Scotland,2020-03-20,83
Scotland,2020-03-19,49
Scotland,2020-03-18,41
Scotland,2020-03-17,43
Scotland,2020-03-16,21
Scotland,2020-03-15,12
Scotland,2020-03-14,19
Scotland,2020-03-13,48
Scotland,2020-03-12,38
Scotland,2020-03-11,26
Scotland,2020-03-10,21
Scotland,2020-03-09,16
Scotland,2020-03-08,3
Scotland,2020-03-07,6
Scotland,2020-03-06,6
Scotland,2020-03-05,2
Scotland,2020-03-04,6
Scotland,2020-03-03,3
Scotland,2020-03-02,1
Scotland,2020-03-01,2
Scotland,2020-02-29,0
Scotland,2020-02-28,1
Wales,2021-02-08,162
Wales,2021-02-07,261
Wales,2021-02-06,348
Wales,2021-02-05,498
Wales,2021-02-04,497
Wales,2021-02-03,582
Wales,2021-02-02,598
Wales,2021-02-01,610
Wales,2021-01-31,460
Wales,2021-01-30,486
Wales,2021-01-29,597
Wales,2021-01-28,564
Wales,2021-01-27,700
Wales,2021-01-26,729
Wales,2021-01-25,843
Wales,2021-01-24,376
Wales,2021-01-23,530
Wales,2021-01-22,769
Wales,2021-01-21,909
Wales,2021-01-20,971
Wales,2021-01-19,1081
Wales,2021-01-18,1397
Wales,2021-01-17,826
Wales,2021-01-16,1005
Wales,2021-01-15,1212
Wales,2021-01-14,1311
Wales,2021-01-13,1463
Wales,2021-01-12,1601
Wales,2021-01-11,1735
Wales,2021-01-10,1179
Wales,2021-01-09,1142
Wales,2021-01-08,1596
Wales,2021-01-07,1663
Wales,2021-01-06,1990
Wales,2021-01-05,2384
Wales,2021-01-04,2659
Wales,2021-01-03,1809
Wales,2021-01-02,2087
Wales,2021-01-01,1211
Wales,2020-12-31,2010
Wales,2020-12-30,2699
Wales,2020-12-29,3563
Wales,2020-12-28,2356
Wales,2020-12-27,2496
Wales,2020-12-26,1893
Wales,2020-12-25,643
Wales,2020-12-24,1473
Wales,2020-12-23,2443
Wales,2020-12-22,2706
Wales,2020-12-21,2744
Wales,2020-12-20,2208
Wales,2020-12-19,2170
Wales,2020-12-18,2537
Wales,2020-12-17,2776
Wales,2020-12-16,3142
Wales,2020-12-15,3181
Wales,2020-12-14,3539
Wales,2020-12-13,2734
Wales,2020-12-12,2285
Wales,2020-12-11,2812
Wales,2020-12-10,2664
Wales,2020-12-09,2692
Wales,2020-12-08,2602
Wales,2020-12-07,2511
Wales,2020-12-06,1697
Wales,2020-12-05,1533
Wales,2020-12-04,1698
Wales,2020-12-03,1807
Wales,2020-12-02,1644
Wales,2020-12-01,1611
Wales,2020-11-30,1505
Wales,2020-11-29,966
Wales,2020-11-28,844
Wales,2020-11-27,1035
Wales,2020-11-26,1159
Wales,2020-11-25,1337
Wales,2020-11-24,1093
Wales,2020-11-23,1031
Wales,2020-11-22,717
Wales,2020-11-21,680
Wales,2020-11-20,936
Wales,2020-11-19,920
Wales,2020-11-18,987
Wales,2020-11-17,1040
Wales,2020-11-16,993
Wales,2020-11-15,628
Wales,2020-11-14,628
Wales,2020-11-13,859
Wales,2020-11-12,772
Wales,2020-11-11,855
Wales,2020-11-10,963
Wales,2020-11-09,1011
Wales,2020-11-08,696
Wales,2020-11-07,605
Wales,2020-11-06,877
Wales,2020-11-05,1017
Wales,2020-11-04,1094
Wales,2020-11-03,1234
Wales,2020-11-02,1410
Wales,2020-11-01,948
Wales,2020-10-31,879
Wales,2020-10-30,1241
Wales,2020-10-29,1583
Wales,2020-10-28,1357
Wales,2020-10-27,1478
Wales,2020-10-26,1556
Wales,2020-10-25,940
Wales,2020-10-24,1025
Wales,2020-10-23,1197
Wales,2020-10-22,1056
Wales,2020-10-21,1266
Wales,2020-10-20,1237
Wales,2020-10-19,1111
Wales,2020-10-18,716
Wales,2020-10-17,708
Wales,2020-10-16,952
Wales,2020-10-15,791
Wales,2020-10-14,904
Wales,2020-10-13,952
Wales,2020-10-12,782
Wales,2020-10-11,626
Wales,2020-10-10,619
Wales,2020-10-09,782
Wales,2020-10-08,827
Wales,2020-10-07,851
Wales,2020-10-06,771
Wales,2020-10-05,703
Wales,2020-10-04,614
Wales,2020-10-03,518
Wales,2020-10-02,601
Wales,2020-10-01,627
Wales,2020-09-30,601
Wales,2020-09-29,466
Wales,2020-09-28,426
Wales,2020-09-27,317
Wales,2020-09-26,403
Wales,2020-09-25,385
Wales,2020-09-24,316
Wales,2020-09-23,378
Wales,2020-09-22,379
Wales,2020-09-21,313
Wales,2020-09-20,252
Wales,2020-09-19,280
Wales,2020-09-18,246
Wales,2020-09-17,261
Wales,2020-09-16,207
Wales,2020-09-15,164
Wales,2020-09-14,191
Wales,2020-09-13,164
Wales,2020-09-12,140
Wales,2020-09-11,145
Wales,2020-09-10,186
Wales,2020-09-09,158
Wales,2020-09-08,143
Wales,2020-09-07,159
Wales,2020-09-06,131
Wales,2020-09-05,128
Wales,2020-09-04,149
Wales,2020-09-03,125
Wales,2020-09-02,95
Wales,2020-09-01,57
Wales,2020-08-31,44
Wales,2020-08-30,46
Wales,2020-08-29,44
Wales,2020-08-28,52
Wales,2020-08-27,50
Wales,2020-08-26,44
Wales,2020-08-25,50
Wales,2020-08-24,36
Wales,2020-08-23,11
Wales,2020-08-22,19
Wales,2020-08-21,22
Wales,2020-08-20,31
Wales,2020-08-19,35
Wales,2020-08-18,38
Wales,2020-08-17,19
Wales,2020-08-16,18
Wales,2020-08-15,10
Wales,2020-08-14,17
Wales,2020-08-13,17
Wales,2020-08-12,24
Wales,2020-08-11,27
Wales,2020-08-10,19
Wales,2020-08-09,8
Wales,2020-08-08,5
Wales,2020-08-07,15
Wales,2020-08-06,22
Wales,2020-08-05,22
Wales,2020-08-04,24
Wales,2020-08-03,22
Wales,2020-08-02,14
Wales,2020-08-01,16
Wales,2020-07-31,16
Wales,2020-07-30,30
Wales,2020-07-29,27
Wales,2020-07-28,27
Wales,2020-07-27,23
Wales,2020-07-26,35
Wales,2020-07-25,24
Wales,2020-07-24,30
Wales,2020-07-23,31
Wales,2020-07-22,25
Wales,2020-07-21,61
Wales,2020-07-20,43
Wales,2020-07-19,10
Wales,2020-07-18,11
Wales,2020-07-17,17
Wales,2020-07-16,25
Wales,2020-07-15,18
Wales,2020-07-14,23
Wales,2020-07-13,24
Wales,2020-07-12,10
Wales,2020-07-11,12
Wales,2020-07-10,29
Wales,2020-07-09,22
Wales,2020-07-08,14
Wales,2020-07-07,29
Wales,2020-07-06,35
Wales,2020-07-05,12
Wales,2020-07-04,9
Wales,2020-07-03,19
Wales,2020-07-02,28
Wales,2020-07-01,27
Wales,2020-06-30,35
Wales,2020-06-29,43
Wales,2020-06-28,28
Wales,2020-06-27,140
Wales,2020-06-26,19
Wales,2020-06-25,60
Wales,2020-06-24,37
Wales,2020-06-23,131
Wales,2020-06-22,66
Wales,2020-06-21,76
Wales,2020-06-20,47
Wales,2020-06-19,140
Wales,2020-06-18,62
Wales,2020-06-17,64
Wales,2020-06-16,82
Wales,2020-06-15,66
Wales,2020-06-14,54
Wales,2020-06-13,70
Wales,2020-06-12,75
Wales,2020-06-11,66
Wales,2020-06-10,67
Wales,2020-06-09,62
Wales,2020-06-08,74
Wales,2020-06-07,34
Wales,2020-06-06,53
Wales,2020-06-05,55
Wales,2020-06-04,60
Wales,2020-06-03,75
Wales,2020-06-02,73
Wales,2020-06-01,64
Wales,2020-05-31,46
Wales,2020-05-30,70
Wales,2020-05-29,106
Wales,2020-05-28,102
Wales,2020-05-27,118
Wales,2020-05-26,102
Wales,2020-05-25,105
Wales,2020-05-24,82
Wales,2020-05-23,122
Wales,2020-05-22,137
Wales,2020-05-21,132
Wales,2020-05-20,166
Wales,2020-05-19,213
Wales,2020-05-18,168
Wales,2020-05-17,118
Wales,2020-05-16,166
Wales,2020-05-15,179
Wales,2020-05-14,132
Wales,2020-05-13,153
Wales,2020-05-12,150
Wales,2020-05-11,178
Wales,2020-05-10,107
Wales,2020-05-09,136
Wales,2020-05-08,115
Wales,2020-05-07,176
Wales,2020-05-06,171
Wales,2020-05-05,175
Wales,2020-05-04,139
Wales,2020-05-03,105
Wales,2020-05-02,179
Wales,2020-05-01,176
Wales,2020-04-30,200
Wales,2020-04-29,176
Wales,2020-04-28,153
Wales,2020-04-27,172
Wales,2020-04-26,121
Wales,2020-04-25,136
Wales,2020-04-24,213
Wales,2020-04-23,201
Wales,2020-04-22,253
Wales,2020-04-21,259
Wales,2020-04-20,281
Wales,2020-04-19,181
Wales,2020-04-18,247
Wales,2020-04-17,324
Wales,2020-04-16,363
Wales,2020-04-15,361
Wales,2020-04-14,317
Wales,2020-04-13,273
Wales,2020-04-12,247
Wales,2020-04-11,247
Wales,2020-04-10,308
Wales,2020-04-09,391
Wales,2020-04-08,386
Wales,2020-04-07,386
Wales,2020-04-06,383
Wales,2020-04-05,223
Wales,2020-04-04,282
Wales,2020-04-03,330
Wales,2020-04-02,336
Wales,2020-04-01,327
Wales,2020-03-31,277
Wales,2020-03-30,343
Wales,2020-03-29,159
Wales,2020-03-28,167
Wales,2020-03-27,193
Wales,2020-03-26,177
Wales,2020-03-25,190
Wales,2020-03-24,141
Wales,2020-03-23,133
Wales,2020-03-22,76
Wales,2020-03-21,75
Wales,2020-03-20,73
Wales,2020-03-19,60
Wales,2020-03-18,36
Wales,2020-03-17,37
Wales,2020-03-16,37
Wales,2020-03-15,32
Wales,2020-03-14,19
Wales,2020-03-13,28
Wales,2020-03-12,25
Wales,2020-03-11,15
Wales,2020-03-10,12
Wales,2020-03-09,3
Wales,2020-03-08,1
Wales,2020-03-07,2
Wales,2020-03-06,0
Wales,2020-03-05,0
Wales,2020-03-04,1
Wales,2020-03-03,0
Wales,2020-03-02,0
Wales,2020-03-01,0
Wales,2020-02-29,0
Wales,2020-02-28,0
Wales,2020-02-27,1
