date,measure,value
1889,Net reproducible capital,9.58
1890,Net reproducible capital,9.49
1891,Net reproducible capital,9.34
1892,Net reproducible capital,9.22
1893,Net reproducible capital,9.13
1894,Net reproducible capital,9.04
1895,Net reproducible capital,9.03
1896,Net reproducible capital,9.07
1897,Net reproducible capital,9.18
1898,Net reproducible capital,9.32
1899,Net reproducible capital,9.49
1900,Net reproducible capital,9.67
1901,Net reproducible capital,9.88
1902,Net reproducible capital,10.12
1903,Net reproducible capital,10.33
1904,Net reproducible capital,10.52
1905,Net reproducible capital,10.68
1906,Net reproducible capital,10.79
1907,Net reproducible capital,10.83
1908,Net reproducible capital,10.79
1909,Net reproducible capital,10.78
1910,Net reproducible capital,10.77
1911,Net reproducible capital,10.75
1912,Net reproducible capital,10.72
1913,Net reproducible capital,10.72
1914,Net reproducible capital,10.72
1915,Net reproducible capital,10.65
1916,Net reproducible capital,10.62
1917,Net reproducible capital,10.45
1918,Net reproducible capital,10.32
1919,Net reproducible capital,10.30
1920,Net reproducible capital,10.26
1921,Net reproducible capital,10.10
1922,Net reproducible capital,9.90
1923,Net reproducible capital,9.83
1924,Net reproducible capital,9.81
1925,Net reproducible capital,9.84
1926,Net reproducible capital,9.83
1927,Net reproducible capital,9.87
1928,Net reproducible capital,9.90
1929,Net reproducible capital,9.95
1930,Net reproducible capital,9.97
1931,Net reproducible capital,9.98
1932,Net reproducible capital,9.93
1933,Net reproducible capital,9.87
1934,Net reproducible capital,9.89
1935,Net reproducible capital,9.91
1936,Net reproducible capital,9.96
1937,Net reproducible capital,10.03
1938,Net reproducible capital,10.08
1939,Net reproducible capital,9.93
1940,Net reproducible capital,9.78
1941,Net reproducible capital,9.62
1942,Net reproducible capital,9.55
1943,Net reproducible capital,9.53
1944,Net reproducible capital,9.50
1945,Net reproducible capital,9.48
1946,Net reproducible capital,9.46
1947,Net reproducible capital,9.39
1948,Net reproducible capital,9.21
1949,Net reproducible capital,9.24
1950,Net reproducible capital,9.28
1951,Net reproducible capital,9.34
1952,Net reproducible capital,9.36
1953,Net reproducible capital,9.45
1954,Net reproducible capital,9.55
1955,Net reproducible capital,9.67
1956,Net reproducible capital,9.84
1957,Net reproducible capital,9.98
1958,Net reproducible capital,10.12
1959,Net reproducible capital,10.28
1960,Net reproducible capital,10.48
1961,Net reproducible capital,10.67
1962,Net reproducible capital,10.87
1963,Net reproducible capital,11.04
1964,Net reproducible capital,11.19
1965,Net reproducible capital,11.42
1966,Net reproducible capital,11.66
1967,Net reproducible capital,11.90
1968,Net reproducible capital,12.18
1969,Net reproducible capital,12.48
1970,Net reproducible capital,12.71
1971,Net reproducible capital,12.94
1972,Net reproducible capital,13.14
1973,Net reproducible capital,13.32
1974,Net reproducible capital,13.54
1975,Net reproducible capital,13.70
1976,Net reproducible capital,13.77
1977,Net reproducible capital,13.81
1978,Net reproducible capital,13.78
1979,Net reproducible capital,13.74
1980,Net reproducible capital,13.70
1981,Net reproducible capital,13.57
1982,Net reproducible capital,13.35
1983,Net reproducible capital,13.15
1984,Net reproducible capital,13.00
1985,Net reproducible capital,12.91
1986,Net reproducible capital,12.83
1987,Net reproducible capital,12.47
1988,Net reproducible capital,12.32
1989,Net reproducible capital,12.37
1990,Net reproducible capital,12.61
1991,Net reproducible capital,12.80
1992,Net reproducible capital,12.85
1993,Net reproducible capital,12.77
1994,Net reproducible capital,12.65
1995,Net reproducible capital,12.54
1996,Net reproducible capital,12.46
1997,Net reproducible capital,12.32
1998,Net reproducible capital,12.15
1999,Net reproducible capital,11.92
2000,Net reproducible capital,11.68
1770,Natural capital,12.57
1771,Natural capital,12.43
1772,Natural capital,12.35
1773,Natural capital,12.25
1774,Natural capital,12.12
1775,Natural capital,11.97
1776,Natural capital,11.79
1777,Natural capital,11.60
1778,Natural capital,11.52
1779,Natural capital,11.46
1780,Natural capital,11.34
1781,Natural capital,11.24
1782,Natural capital,11.24
1783,Natural capital,11.23
1784,Natural capital,11.22
1785,Natural capital,11.16
1786,Natural capital,11.05
1787,Natural capital,11.02
1788,Natural capital,10.99
1789,Natural capital,10.90
1790,Natural capital,10.83
1791,Natural capital,10.77
1792,Natural capital,10.75
1793,Natural capital,10.75
1794,Natural capital,10.70
1795,Natural capital,10.67
1796,Natural capital,10.74
1797,Natural capital,10.86
1798,Natural capital,10.97
1799,Natural capital,11.05
1800,Natural capital,11.11
1801,Natural capital,11.19
1802,Natural capital,11.37
1803,Natural capital,11.45
1804,Natural capital,11.48
1805,Natural capital,11.52
1806,Natural capital,11.62
1807,Natural capital,11.68
1808,Natural capital,11.74
1809,Natural capital,11.72
1810,Natural capital,11.69
1811,Natural capital,11.69
1812,Natural capital,11.61
1813,Natural capital,11.50
1814,Natural capital,11.40
1815,Natural capital,11.27
1816,Natural capital,11.17
1817,Natural capital,11.03
1818,Natural capital,10.95
1819,Natural capital,10.83
1820,Natural capital,10.76
1821,Natural capital,10.63
1822,Natural capital,10.45
1823,Natural capital,10.25
1824,Natural capital,10.13
1825,Natural capital,10.06
1826,Natural capital,10.08
1827,Natural capital,10.02
1828,Natural capital,10.03
1829,Natural capital,10.02
1830,Natural capital,9.96
1831,Natural capital,9.96
1832,Natural capital,9.94
1833,Natural capital,9.94
1834,Natural capital,9.96
1835,Natural capital,9.98
1836,Natural capital,10.02
1837,Natural capital,9.94
1838,Natural capital,9.88
1839,Natural capital,9.79
1840,Natural capital,9.69
1841,Natural capital,9.61
1842,Natural capital,9.50
1843,Natural capital,9.39
1844,Natural capital,9.25
1845,Natural capital,9.09
1846,Natural capital,8.95
1847,Natural capital,8.83
1848,Natural capital,8.79
1849,Natural capital,8.68
1850,Natural capital,8.57
1851,Natural capital,8.41
1852,Natural capital,8.34
1853,Natural capital,8.31
1854,Natural capital,8.29
1855,Natural capital,8.26
1856,Natural capital,8.16
1857,Natural capital,8.06
1858,Natural capital,7.93
1859,Natural capital,7.75
1860,Natural capital,7.62
1861,Natural capital,7.48
1862,Natural capital,7.34
1863,Natural capital,7.19
1864,Natural capital,7.11
1865,Natural capital,7.07
1866,Natural capital,7.00
1867,Natural capital,6.98
1868,Natural capital,6.82
1869,Natural capital,6.68
1870,Natural capital,6.54
1871,Natural capital,6.47
1872,Natural capital,6.39
1873,Natural capital,6.23
1874,Natural capital,6.06
1875,Natural capital,5.99
1876,Natural capital,5.87
1877,Natural capital,5.71
1878,Natural capital,5.54
1879,Natural capital,5.34
1880,Natural capital,5.18
1881,Natural capital,5.03
1882,Natural capital,4.93
1883,Natural capital,4.86
1884,Natural capital,4.76
1885,Natural capital,4.65
1886,Natural capital,4.56
1887,Natural capital,4.47
1888,Natural capital,4.42
1889,Natural capital,4.41
1890,Natural capital,4.38
1891,Natural capital,4.27
1892,Natural capital,4.16
1893,Natural capital,4.08
1894,Natural capital,4.06
1895,Natural capital,4.07
1896,Natural capital,3.97
1897,Natural capital,3.92
1898,Natural capital,3.92
1899,Natural capital,3.93
1900,Natural capital,3.87
1901,Natural capital,3.78
1902,Natural capital,3.68
1903,Natural capital,3.62
1904,Natural capital,3.59
1905,Natural capital,3.57
1906,Natural capital,3.53
1907,Natural capital,3.47
1908,Natural capital,3.39
1909,Natural capital,3.32
1910,Natural capital,3.28
1911,Natural capital,3.24
1912,Natural capital,3.20
1913,Natural capital,3.18
1914,Natural capital,3.14
1915,Natural capital,3.07
1916,Natural capital,3.01
1917,Natural capital,2.93
1918,Natural capital,2.86
1919,Natural capital,2.82
1920,Natural capital,2.73
1921,Natural capital,2.61
1922,Natural capital,2.66
1923,Natural capital,2.66
1924,Natural capital,2.61
1925,Natural capital,2.57
1926,Natural capital,2.55
1927,Natural capital,2.51
1928,Natural capital,2.51
1929,Natural capital,2.54
1930,Natural capital,2.53
1931,Natural capital,2.53
1932,Natural capital,2.55
1933,Natural capital,2.57
1934,Natural capital,2.57
1935,Natural capital,2.57
1936,Natural capital,2.59
1937,Natural capital,2.59
1938,Natural capital,2.58
1939,Natural capital,2.57
1940,Natural capital,2.54
1941,Natural capital,2.50
1942,Natural capital,2.49
1943,Natural capital,2.49
1944,Natural capital,2.49
1945,Natural capital,2.49
1946,Natural capital,2.49
1947,Natural capital,2.44
1948,Natural capital,2.38
1949,Natural capital,2.37
1950,Natural capital,2.35
1951,Natural capital,2.38
1952,Natural capital,2.45
1953,Natural capital,2.53
1954,Natural capital,2.74
1955,Natural capital,2.93
1956,Natural capital,3.12
1957,Natural capital,3.35
1958,Natural capital,3.59
1959,Natural capital,3.85
1960,Natural capital,4.11
1961,Natural capital,4.21
1962,Natural capital,4.31
1963,Natural capital,4.34
1964,Natural capital,4.37
1965,Natural capital,4.42
1966,Natural capital,4.46
1967,Natural capital,4.49
1968,Natural capital,4.54
1969,Natural capital,4.60
1970,Natural capital,4.65
1971,Natural capital,4.72
1972,Natural capital,4.77
1973,Natural capital,4.82
1974,Natural capital,4.90
1975,Natural capital,4.99
1976,Natural capital,5.05
1977,Natural capital,5.08
1978,Natural capital,5.06
1979,Natural capital,5.05
1980,Natural capital,4.91
1981,Natural capital,4.79
1982,Natural capital,4.68
1983,Natural capital,4.55
1984,Natural capital,4.42
1985,Natural capital,4.30
1986,Natural capital,4.20
1987,Natural capital,4.18
1988,Natural capital,4.23
1989,Natural capital,4.39
1990,Natural capital,4.63
1991,Natural capital,4.90
1992,Natural capital,5.19
1993,Natural capital,5.47
1994,Natural capital,5.77
1995,Natural capital,6.07
1996,Natural capital,6.42
1997,Natural capital,6.74
1998,Natural capital,7.07
1999,Natural capital,7.37
2000,Natural capital,7.67
1770,Human capital,58.22
1771,Human capital,58.82
1772,Human capital,59.15
1773,Human capital,59.40
1774,Human capital,59.63
1775,Human capital,59.70
1776,Human capital,59.73
1777,Human capital,59.49
1778,Human capital,59.31
1779,Human capital,59.21
1780,Human capital,59.04
1781,Human capital,58.81
1782,Human capital,58.96
1783,Human capital,58.93
1784,Human capital,58.97
1785,Human capital,58.94
1786,Human capital,58.72
1787,Human capital,58.85
1788,Human capital,59.09
1789,Human capital,59.18
1790,Human capital,59.38
1791,Human capital,59.55
1792,Human capital,59.43
1793,Human capital,59.37
1794,Human capital,59.26
1795,Human capital,59.10
1796,Human capital,59.07
1797,Human capital,57.90
1798,Human capital,58.34
1799,Human capital,58.76
1800,Human capital,59.14
1801,Human capital,61.38
1802,Human capital,61.56
1803,Human capital,61.59
1804,Human capital,61.56
1805,Human capital,61.48
1806,Human capital,61.46
1807,Human capital,61.37
1808,Human capital,61.41
1809,Human capital,61.27
1810,Human capital,61.36
1811,Human capital,61.51
1812,Human capital,61.45
1813,Human capital,61.47
1814,Human capital,61.47
1815,Human capital,61.45
1816,Human capital,61.62
1817,Human capital,61.74
1818,Human capital,61.98
1819,Human capital,62.16
1820,Human capital,62.10
1821,Human capital,62.16
1822,Human capital,62.26
1823,Human capital,62.36
1824,Human capital,62.50
1825,Human capital,62.72
1826,Human capital,63.07
1827,Human capital,63.10
1828,Human capital,63.07
1829,Human capital,63.03
1830,Human capital,62.87
1831,Human capital,62.86
1832,Human capital,62.63
1833,Human capital,62.45
1834,Human capital,62.26
1835,Human capital,62.03
1836,Human capital,62.18
1837,Human capital,62.43
1838,Human capital,62.79
1839,Human capital,63.00
1840,Human capital,63.11
1841,Human capital,63.04
1842,Human capital,62.86
1843,Human capital,62.69
1844,Human capital,62.55
1845,Human capital,61.92
1846,Human capital,61.93
1847,Human capital,61.93
1848,Human capital,61.86
1849,Human capital,61.81
1850,Human capital,61.64
1851,Human capital,61.30
1852,Human capital,60.95
1853,Human capital,60.65
1854,Human capital,60.43
1855,Human capital,60.23
1856,Human capital,59.87
1857,Human capital,59.65
1858,Human capital,59.41
1859,Human capital,58.97
1860,Human capital,58.68
1861,Human capital,58.57
1862,Human capital,58.58
1863,Human capital,58.50
1864,Human capital,58.75
1865,Human capital,59.06
1866,Human capital,59.21
1867,Human capital,59.26
1868,Human capital,59.31
1869,Human capital,59.53
1870,Human capital,59.77
1871,Human capital,59.20
1872,Human capital,59.40
1873,Human capital,59.49
1874,Human capital,59.44
1875,Human capital,59.42
1876,Human capital,59.39
1877,Human capital,59.28
1878,Human capital,59.21
1879,Human capital,59.26
1880,Human capital,59.20
1881,Human capital,61.06
1882,Human capital,61.11
1883,Human capital,61.14
1884,Human capital,61.25
1885,Human capital,61.48
1886,Human capital,61.88
1887,Human capital,62.34
1888,Human capital,62.79
1889,Human capital,63.15
1890,Human capital,63.18
1891,Human capital,63.22
1892,Human capital,62.31
1893,Human capital,61.55
1894,Human capital,60.87
1895,Human capital,60.60
1896,Human capital,60.50
1897,Human capital,60.53
1898,Human capital,60.42
1899,Human capital,60.40
1900,Human capital,60.50
1901,Human capital,62.70
1902,Human capital,62.69
1903,Human capital,62.74
1904,Human capital,62.79
1905,Human capital,62.91
1906,Human capital,63.06
1907,Human capital,63.15
1908,Human capital,63.19
1909,Human capital,63.43
1910,Human capital,65.28
1911,Human capital,65.74
1912,Human capital,66.07
1913,Human capital,66.43
1914,Human capital,66.72
1915,Human capital,66.95
1916,Human capital,67.72
1917,Human capital,67.85
1918,Human capital,67.49
1919,Human capital,66.90
1920,Human capital,68.11
1921,Human capital,67.34
1922,Human capital,66.92
1923,Human capital,67.49
1924,Human capital,68.06
1925,Human capital,68.53
1926,Human capital,68.96
1927,Human capital,69.56
1928,Human capital,70.00
1929,Human capital,70.48
1930,Human capital,70.70
1931,Human capital,71.36
1932,Human capital,72.09
1933,Human capital,72.78
1934,Human capital,73.40
1935,Human capital,73.94
1936,Human capital,74.43
1937,Human capital,74.88
1938,Human capital,75.30
1939,Human capital,75.79
1940,Human capital,76.18
1941,Human capital,76.41
1942,Human capital,77.20
1943,Human capital,78.26
1944,Human capital,79.43
1945,Human capital,80.79
1946,Human capital,82.28
1947,Human capital,83.65
1948,Human capital,84.09
1949,Human capital,84.02
1950,Human capital,85.27
1951,Human capital,84.73
1952,Human capital,84.61
1953,Human capital,84.35
1954,Human capital,84.01
1955,Human capital,83.57
1956,Human capital,83.14
1957,Human capital,82.67
1958,Human capital,82.21
1959,Human capital,82.54
1960,Human capital,82.11
1961,Human capital,81.85
1962,Human capital,81.59
1963,Human capital,80.74
1964,Human capital,80.20
1965,Human capital,79.56
1966,Human capital,79.19
1967,Human capital,78.78
1968,Human capital,78.44
1969,Human capital,78.09
1970,Human capital,77.65
1971,Human capital,77.16
1972,Human capital,76.75
1973,Human capital,76.21
1974,Human capital,78.93
1975,Human capital,79.54
1976,Human capital,77.42
1977,Human capital,77.00
1978,Human capital,75.75
1979,Human capital,75.59
1980,Human capital,74.55
1981,Human capital,72.31
1982,Human capital,71.65
1983,Human capital,69.85
1984,Human capital,68.08
1985,Human capital,67.26
1986,Human capital,67.95
1987,Human capital,65.50
1988,Human capital,63.86
1989,Human capital,63.51
1990,Human capital,63.98
1991,Human capital,63.64
1992,Human capital,63.32
1993,Human capital,63.01
1994,Human capital,63.10
1995,Human capital,64.67
1996,Human capital,64.36
1997,Human capital,64.05
1998,Human capital,62.12
1999,Human capital,58.74
2000,Human capital,57.36
1770,Intangible capital,19.43
1771,Intangible capital,19.00
1772,Intangible capital,18.78
1773,Intangible capital,18.67
1774,Intangible capital,18.60
1775,Intangible capital,18.73
1776,Intangible capital,18.93
1777,Intangible capital,19.39
1778,Intangible capital,19.67
1779,Intangible capital,19.85
1780,Intangible capital,20.16
1781,Intangible capital,20.52
1782,Intangible capital,20.37
1783,Intangible capital,20.47
1784,Intangible capital,20.46
1785,Intangible capital,20.59
1786,Intangible capital,20.95
1787,Intangible capital,20.87
1788,Intangible capital,20.68
1789,Intangible capital,20.71
1790,Intangible capital,20.61
1791,Intangible capital,20.52
1792,Intangible capital,20.66
1793,Intangible capital,20.72
1794,Intangible capital,20.87
1795,Intangible capital,21.07
1796,Intangible capital,21.02
1797,Intangible capital,22.04
1798,Intangible capital,21.49
1799,Intangible capital,20.98
1800,Intangible capital,20.55
1801,Intangible capital,18.21
1802,Intangible capital,17.82
1803,Intangible capital,17.70
1804,Intangible capital,17.70
1805,Intangible capital,17.75
1806,Intangible capital,17.66
1807,Intangible capital,17.67
1808,Intangible capital,17.55
1809,Intangible capital,17.72
1810,Intangible capital,17.65
1811,Intangible capital,17.52
1812,Intangible capital,17.68
1813,Intangible capital,17.81
1814,Intangible capital,17.94
1815,Intangible capital,18.14
1816,Intangible capital,18.06
1817,Intangible capital,18.08
1818,Intangible capital,17.91
1819,Intangible capital,17.86
1820,Intangible capital,18.03
1821,Intangible capital,18.14
1822,Intangible capital,18.26
1823,Intangible capital,18.38
1824,Intangible capital,18.39
1825,Intangible capital,18.25
1826,Intangible capital,17.83
1827,Intangible capital,17.84
1828,Intangible capital,17.83
1829,Intangible capital,17.87
1830,Intangible capital,18.08
1831,Intangible capital,18.07
1832,Intangible capital,18.32
1833,Intangible capital,18.48
1834,Intangible capital,18.62
1835,Intangible capital,18.82
1836,Intangible capital,18.57
1837,Intangible capital,18.33
1838,Intangible capital,17.95
1839,Intangible capital,17.78
1840,Intangible capital,17.72
1841,Intangible capital,17.82
1842,Intangible capital,18.07
1843,Intangible capital,18.33
1844,Intangible capital,18.58
1845,Intangible capital,19.31
1846,Intangible capital,19.27
1847,Intangible capital,19.25
1848,Intangible capital,19.20
1849,Intangible capital,19.19
1850,Intangible capital,20.49
1851,Intangible capital,21.00
1852,Intangible capital,21.39
1853,Intangible capital,21.70
1854,Intangible capital,21.92
1855,Intangible capital,22.13
1856,Intangible capital,22.67
1857,Intangible capital,23.03
1858,Intangible capital,23.45
1859,Intangible capital,24.14
1860,Intangible capital,24.59
1861,Intangible capital,24.83
1862,Intangible capital,24.93
1863,Intangible capital,25.13
1864,Intangible capital,24.88
1865,Intangible capital,24.50
1866,Intangible capital,24.35
1867,Intangible capital,24.31
1868,Intangible capital,24.45
1869,Intangible capital,24.39
1870,Intangible capital,24.28
1871,Intangible capital,24.85
1872,Intangible capital,24.69
1873,Intangible capital,24.73
1874,Intangible capital,24.88
1875,Intangible capital,24.86
1876,Intangible capital,24.89
1877,Intangible capital,25.06
1878,Intangible capital,25.26
1879,Intangible capital,25.41
1880,Intangible capital,25.68
1881,Intangible capital,23.96
1882,Intangible capital,24.03
1883,Intangible capital,24.09
1884,Intangible capital,24.07
1885,Intangible capital,23.99
1886,Intangible capital,23.76
1887,Intangible capital,23.47
1888,Intangible capital,23.15
1889,Intangible capital,22.86
1890,Intangible capital,22.95
1891,Intangible capital,23.18
1892,Intangible capital,24.31
1893,Intangible capital,25.24
1894,Intangible capital,26.03
1895,Intangible capital,26.30
1896,Intangible capital,26.47
1897,Intangible capital,26.37
1898,Intangible capital,26.34
1899,Intangible capital,26.18
1900,Intangible capital,25.95
1901,Intangible capital,23.64
1902,Intangible capital,23.51
1903,Intangible capital,23.31
1904,Intangible capital,23.09
1905,Intangible capital,22.85
1906,Intangible capital,22.63
1907,Intangible capital,22.55
1908,Intangible capital,22.64
1909,Intangible capital,22.47
1910,Intangible capital,20.67
1911,Intangible capital,20.27
1912,Intangible capital,20.01
1913,Intangible capital,19.66
1914,Intangible capital,19.42
1915,Intangible capital,19.34
1916,Intangible capital,18.65
1917,Intangible capital,18.77
1918,Intangible capital,19.33
1919,Intangible capital,19.98
1920,Intangible capital,18.90
1921,Intangible capital,19.95
1922,Intangible capital,20.52
1923,Intangible capital,20.02
1924,Intangible capital,19.51
1925,Intangible capital,19.07
1926,Intangible capital,18.66
1927,Intangible capital,18.07
1928,Intangible capital,17.59
1929,Intangible capital,17.03
1930,Intangible capital,16.79
1931,Intangible capital,16.12
1932,Intangible capital,15.43
1933,Intangible capital,14.78
1934,Intangible capital,14.14
1935,Intangible capital,13.57
1936,Intangible capital,13.02
1937,Intangible capital,12.51
1938,Intangible capital,12.04
1939,Intangible capital,11.71
1940,Intangible capital,11.51
1941,Intangible capital,11.47
1942,Intangible capital,10.76
1943,Intangible capital,9.72
1944,Intangible capital,8.58
1945,Intangible capital,7.25
1946,Intangible capital,5.77
1947,Intangible capital,4.52
1948,Intangible capital,4.32
1949,Intangible capital,4.37
1950,Intangible capital,3.10
1951,Intangible capital,3.55
1952,Intangible capital,3.57
1953,Intangible capital,3.67
1954,Intangible capital,3.69
1955,Intangible capital,3.83
1956,Intangible capital,3.90
1957,Intangible capital,4.00
1958,Intangible capital,4.08
1959,Intangible capital,3.34
1960,Intangible capital,3.30
1961,Intangible capital,3.28
1962,Intangible capital,3.24
1963,Intangible capital,3.88
1964,Intangible capital,4.25
1965,Intangible capital,4.60
1966,Intangible capital,4.69
1967,Intangible capital,4.82
1968,Intangible capital,4.84
1969,Intangible capital,4.84
1970,Intangible capital,4.99
1971,Intangible capital,5.18
1972,Intangible capital,5.34
1973,Intangible capital,5.64
1974,Intangible capital,2.63
1975,Intangible capital,1.77
1976,Intangible capital,3.75
1977,Intangible capital,4.11
1978,Intangible capital,5.41
1979,Intangible capital,5.61
1980,Intangible capital,6.84
1981,Intangible capital,9.33
1982,Intangible capital,10.32
1983,Intangible capital,12.45
1984,Intangible capital,14.51
1985,Intangible capital,15.54
1986,Intangible capital,15.02
1987,Intangible capital,17.86
1988,Intangible capital,19.58
1989,Intangible capital,19.73
1990,Intangible capital,18.79
1991,Intangible capital,18.66
1992,Intangible capital,18.64
1993,Intangible capital,18.75
1994,Intangible capital,18.48
1995,Intangible capital,16.72
1996,Intangible capital,16.76
1997,Intangible capital,16.89
1998,Intangible capital,18.66
1999,Intangible capital,21.96
2000,Intangible capital,23.29
