Measure,Date,Percentage
LFS Employees,Jul-15,2.119631473
LFS Employees,Aug-15,1.883187468
LFS Employees,Sep-15,1.865845639
LFS Employees,Oct-15,2.066982705
LFS Employees,Nov-15,2.168112268
LFS Employees,Dec-15,1.689137063
LFS Employees,Jan-16,1.665841444
LFS Employees,Feb-16,1.172873546
LFS Employees,Mar-16,0.958358379
LFS Employees,Apr-16,1.021657992
LFS Employees,May-16,1.278254243
LFS Employees,Jun-16,1.387238114
LFS Employees,Jul-16,1.44410254
LFS Employees,Aug-16,1.216038523
LFS Employees,Sep-16,1.015817336
LFS Employees,Oct-16,0.807281109
LFS Employees,Nov-16,0.556192799
LFS Employees,Dec-16,0.63116719
LFS Employees,Jan-17,0.51405836
LFS Employees,Feb-17,0.689314183
LFS Employees,Mar-17,1.011142629
LFS Employees,Apr-17,0.944289609
LFS Employees,May-17,1.140748097
LFS Employees,Jun-17,1.176402784
LFS Employees,Jul-17,1.000710647
LFS Employees,Aug-17,0.874573161
LFS Employees,Sep-17,0.914003442
LFS Employees,Oct-17,0.977877598
LFS Employees,Nov-17,1.543146327
LFS Employees,Dec-17,1.246605994
LFS Employees,Jan-18,1.65723638
LFS Employees,Feb-18,1.791352241
LFS Employees,Mar-18,1.780398118
LFS Employees,Apr-18,1.735320681
LFS Employees,May-18,1.473998234
LFS Employees,Jun-18,1.374583804
LFS Employees,Jul-18,1.203203236
LFS Employees,Aug-18,1.503396598
LFS Employees,Sep-18,1.586950428
LFS Employees,Oct-18,1.642337911
LFS Employees,Nov-18,1.05327317
LFS Employees,Dec-18,1.505473988
LFS Employees,Jan-19,1.529696555
LFS Employees,Feb-19,1.329948029
LFS Employees,Mar-19,0.608584917
LFS Employees,Apr-19,0.872662458
LFS Employees,May-19,0.679348385
LFS Employees,Jun-19,0.782435043
LFS Employees,Jul-19,0.850220096
LFS Employees,Aug-19,0.353466495
LFS Employees,Sep-19,0.398778236
LFS Employees,Oct-19,0.395798179
LFS Employees,Nov-19,0.646168873
LFS Employees,Dec-19,0.490739738
LFS Employees,Jan-20,0.205414563
LFS Employees,Feb-20,0.519929763
LFS Employees,Mar-20,1.024562455
LFS Employees,Apr-20,0.549914109
LFS Employees,May-20,0.641143029
LFS Employees,Jun-20,0.565940622
LFS Employees,Jul-20,0.617254971
LFS Employees,Aug-20,1.146720134
LFS Employees,Sep-20,0.81330852
LFS Employees,Oct-20,
RTI 3-month average,Jul-15,
RTI 3-month average,Aug-15,
RTI 3-month average,Sep-15,2.661941588
RTI 3-month average,Oct-15,2.667510698
RTI 3-month average,Nov-15,2.656512171
RTI 3-month average,Dec-15,2.611879412
RTI 3-month average,Jan-16,2.415513021
RTI 3-month average,Feb-16,2.252514186
RTI 3-month average,Mar-16,2.049405706
RTI 3-month average,Apr-16,1.903041671
RTI 3-month average,May-16,1.770657975
RTI 3-month average,Jun-16,1.68554368
RTI 3-month average,Jul-16,1.619995532
RTI 3-month average,Aug-16,1.526776096
RTI 3-month average,Sep-16,1.439144561
RTI 3-month average,Oct-16,1.335083762
RTI 3-month average,Nov-16,1.260450348
RTI 3-month average,Dec-16,1.282662838
RTI 3-month average,Jan-17,1.260716264
RTI 3-month average,Feb-17,1.255893562
RTI 3-month average,Mar-17,1.214917786
RTI 3-month average,Apr-17,1.264574769
RTI 3-month average,May-17,1.306394973
RTI 3-month average,Jun-17,1.307810778
RTI 3-month average,Jul-17,1.281280864
RTI 3-month average,Aug-17,1.296789611
RTI 3-month average,Sep-17,1.318982586
RTI 3-month average,Oct-17,1.366544154
RTI 3-month average,Nov-17,1.371702179
RTI 3-month average,Dec-17,1.36436803
RTI 3-month average,Jan-18,1.362370609
RTI 3-month average,Feb-18,1.325942832
RTI 3-month average,Mar-18,1.241039256
RTI 3-month average,Apr-18,1.180516583
RTI 3-month average,May-18,1.123394196
RTI 3-month average,Jun-18,1.110961845
RTI 3-month average,Jul-18,1.085756949
RTI 3-month average,Aug-18,1.101274011
RTI 3-month average,Sep-18,1.096538124
RTI 3-month average,Oct-18,1.072893256
RTI 3-month average,Nov-18,1.066626874
RTI 3-month average,Dec-18,1.058336721
RTI 3-month average,Jan-19,1.061445828
RTI 3-month average,Feb-19,1.065403102
RTI 3-month average,Mar-19,1.178755121
RTI 3-month average,Apr-19,1.210029949
RTI 3-month average,May-19,1.208242422
RTI 3-month average,Jun-19,1.118135282
RTI 3-month average,Jul-19,1.042380063
RTI 3-month average,Aug-19,0.970004591
RTI 3-month average,Sep-19,0.93454701
RTI 3-month average,Oct-19,0.927313761
RTI 3-month average,Nov-19,0.865810874
RTI 3-month average,Dec-19,0.800293735
RTI 3-month average,Jan-20,0.773083858
RTI 3-month average,Feb-20,0.759539562
RTI 3-month average,Mar-20,0.633112358
RTI 3-month average,Apr-20,-0.050056268
RTI 3-month average,May-20,-0.881239029
RTI 3-month average,Jun-20,-1.680697701
RTI 3-month average,Jul-20,-1.946130577
RTI 3-month average,Aug-20,-2.115594591
RTI 3-month average,Sep-20,-2.299646279
RTI 3-month average,Oct-20,-2.518664783
