Measure,MeasureShort,Date1,Date2,Percentage,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2009,01-01-2009,69.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2009,01-04-2009,42.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2009,01-07-2009,34,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2009,01-10-2009,16.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2010,01-01-2010,3.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2010,01-04-2010,0,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2010,01-07-2010,-9.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2010,01-10-2010,-7.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2011,01-01-2011,-1.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2011,01-04-2011,-13.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2011,01-07-2011,-7.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2011,01-10-2011,-6.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2012,01-01-2012,1.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2012,01-04-2012,-1.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2012,01-07-2012,-4.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2012,01-10-2012,-7.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2013,01-01-2013,-7.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2013,01-04-2013,-23.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2013,01-07-2013,-10,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2013,01-10-2013,-7.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2014,01-01-2014,-4.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2014,01-04-2014,-7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2014,01-07-2014,-8.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2014,01-10-2014,-8.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2015,01-01-2015,-5.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2015,01-04-2015,-1.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2015,01-07-2015,-6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2015,01-10-2015,1.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2016,01-01-2016,4.2,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2016,01-04-2016,5.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2016,01-07-2016,7.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2016,01-10-2016,-1.5,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2017,01-01-2017,0,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2017,01-04-2017,-2.9,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2017,01-07-2017,-4.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2017,01-10-2017,-8.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2018,01-01-2018,0,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2018,01-04-2018,-3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2018,01-07-2018,-7.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2018,01-10-2018,-3.1,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2019,01-01-2019,4.3,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2019,01-04-2019,0,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2019,01-07-2019,-5.8,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2019,01-10-2019,5.6,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/01/2020,01-01-2020,-1.4,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/04/2020,01-04-2020,39.7,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/07/2020,01-07-2020,70,,
Net percentage of Domestic Banks Tightening Standards for Commerical and Industrial Loans to Small Firms,Small firm credit tightening,01/10/2020,01-10-2020,31.3,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2000,01-04-2000,5.962615385,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2000,01-07-2000,6.316363636,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2000,01-10-2000,8.117846154,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2001,01-01-2001,8.006,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2001,01-04-2001,8.063846154,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2001,01-07-2001,8.465238095,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2001,01-10-2001,8.995076923,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2002,01-01-2002,7.862698413,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2002,01-04-2002,7.372727273,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2002,01-07-2002,9.659850746,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2002,01-10-2002,9.788787879,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2003,01-01-2003,8.216031746,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2003,01-04-2003,6.664769231,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2003,01-07-2003,5.681641791,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2003,01-10-2003,4.610757576,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2004,01-01-2004,4.202272727,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2004,01-04-2004,4.09796875,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2004,01-07-2004,3.989253731,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2004,01-10-2004,3.373333333,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2005,01-01-2005,3.075714286,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2005,01-04-2005,3.970606061,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2005,01-07-2005,3.500447761,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2005,01-10-2005,3.620769231,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2006,01-01-2006,3.37421875,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2006,01-04-2006,3.120307692,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2006,01-07-2006,3.406515152,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2006,01-10-2006,3.131692308,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2007,01-01-2007,2.753230769,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2007,01-04-2007,2.63734375,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2007,01-07-2007,4.025909091,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2007,01-10-2007,5.022,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2008,01-01-2008,7.354603175,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2008,01-04-2008,6.935909091,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2008,01-07-2008,8.369850746,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2008,01-10-2008,17.69136364,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2009,01-01-2009,17.04353846,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2009,01-04-2009,12.92907692,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2009,01-07-2009,9.250909091,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2009,01-10-2009,7.423484848,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2010,01-01-2010,6.352153846,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2010,01-04-2010,6.380625,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2010,01-07-2010,6.653880597,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2010,01-10-2010,5.806865672,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2011,01-01-2011,4.875,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2011,01-04-2011,5.004923077,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2011,01-07-2011,6.704477612,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2011,01-10-2011,7.673692308,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2012,01-01-2012,6.335692308,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2012,01-04-2012,6.413076923,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2012,01-07-2012,5.967878788,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2012,01-10-2012,5.5165625,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2013,01-01-2013,4.903968254,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2013,01-04-2013,4.723181818,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2013,01-07-2013,4.739384615,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2013,01-10-2013,4.328030303,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2014,01-01-2014,3.934285714,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2014,01-04-2014,3.645692308,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2014,01-07-2014,3.891343284,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2014,01-10-2014,4.683484848,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2015,01-01-2015,4.8865625,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2015,01-04-2015,4.5996875,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2015,01-07-2015,5.535757576,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2015,01-10-2015,6.402424242,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2016,01-01-2016,7.6015625,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2016,01-04-2016,6.328181818,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2016,01-07-2016,5.363880597,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2016,01-10-2016,4.634615385,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2017,01-01-2017,3.92125,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2017,01-04-2017,3.797538462,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2017,01-07-2017,3.750454545,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2017,01-10-2017,3.591846154,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2018,01-01-2018,3.5090625,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2018,01-04-2018,3.464545455,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2018,01-07-2018,3.463030303,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2018,01-10-2018,4.070615385,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2019,01-01-2019,4.2403125,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2019,01-04-2019,4.021846154,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2019,01-07-2019,4.08238806,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2019,01-10-2019,3.961076923,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/01/2020,01-01-2020,5.144307692,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/04/2020,01-04-2020,7.148923077,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/07/2020,01-07-2020,5.369848485,,
ICE BofA US High Yield Index Option-Adjusted Spread,High Yield Bonds,01/10/2020,01-10-2020,4.548636364,,
