Measure,Date,Date2,Percentage
LFS Employees,01/02/2016,2016-02-01,1.172873546
LFS Employees,01/03/2016,2016-03-01,0.958358379
LFS Employees,01/04/2016,2016-04-01,1.021657992
LFS Employees,01/05/2016,2016-05-01,1.278254243
LFS Employees,01/06/2016,2016-06-01,1.387238114
LFS Employees,01/07/2016,2016-07-01,1.44410254
LFS Employees,01/08/2016,2016-08-01,1.216038523
LFS Employees,01/09/2016,2016-09-01,1.015817336
LFS Employees,01/10/2016,2016-10-01,0.807281109
LFS Employees,01/11/2016,2016-11-01,0.556192799
LFS Employees,01/12/2016,2016-12-01,0.63116719
LFS Employees,01/01/2017,2017-01-01,0.51405836
LFS Employees,01/02/2017,2017-02-01,0.689314183
LFS Employees,01/03/2017,2017-03-01,1.011142629
LFS Employees,01/04/2017,2017-04-01,0.944289609
LFS Employees,01/05/2017,2017-05-01,1.140748097
LFS Employees,01/06/2017,2017-06-01,1.176402784
LFS Employees,01/07/2017,2017-07-01,1.000710647
LFS Employees,01/08/2017,2017-08-01,0.874573161
LFS Employees,01/09/2017,2017-09-01,0.914003442
LFS Employees,01/10/2017,2017-10-01,0.977877598
LFS Employees,01/11/2017,2017-11-01,1.543146327
LFS Employees,01/12/2017,2017-12-01,1.246605994
LFS Employees,01/01/2018,2018-01-01,1.65723638
LFS Employees,01/02/2018,2018-02-01,1.791352241
LFS Employees,01/03/2018,2018-03-01,1.780398118
LFS Employees,01/04/2018,2018-04-01,1.735320681
LFS Employees,01/05/2018,2018-05-01,1.473998234
LFS Employees,01/06/2018,2018-06-01,1.374583804
LFS Employees,01/07/2018,2018-07-01,1.203203236
LFS Employees,01/08/2018,2018-08-01,1.503396598
LFS Employees,01/09/2018,2018-09-01,1.586950428
LFS Employees,01/10/2018,2018-10-01,1.642337911
LFS Employees,01/11/2018,2018-11-01,1.05327317
LFS Employees,01/12/2018,2018-12-01,1.505473988
LFS Employees,01/01/2019,2019-01-01,1.529696555
LFS Employees,01/02/2019,2019-02-01,1.329948029
LFS Employees,01/03/2019,2019-03-01,0.608584917
LFS Employees,01/04/2019,2019-04-01,0.872662458
LFS Employees,01/05/2019,2019-05-01,0.679348385
LFS Employees,01/06/2019,2019-06-01,0.782435043
LFS Employees,01/07/2019,2019-07-01,0.850220096
LFS Employees,01/08/2019,2019-08-01,0.353466495
LFS Employees,01/09/2019,2019-09-01,0.398778236
LFS Employees,01/10/2019,2019-10-01,0.395798179
LFS Employees,01/11/2019,2019-11-01,0.646168873
LFS Employees,01/12/2019,2019-12-01,0.490739738
LFS Employees,01/01/2020,2020-01-01,0.205414563
LFS Employees,01/02/2020,2020-02-01,0.519929763
LFS Employees,01/03/2020,2020-03-01,1.024562455
LFS Employees,01/04/2020,2020-04-01,0.549914109
LFS Employees,01/05/2020,2020-05-01,0.641143029
LFS Employees,01/06/2020,2020-06-01,0.565940622
LFS Employees,01/07/2020,2020-07-01,0.617254971
LFS Employees,01/08/2020,2020-08-01,1.146720134
LFS Employees,01/09/2020,2020-09-01,0.81330852
LFS Employees,01/10/2020,2020-10-01,
RTI 3-month average,01/07/2015,2015-07-01,
RTI 3-month average,01/08/2015,2015-08-01,
RTI 3-month average,01/09/2015,2015-09-01,2.661941588
RTI 3-month average,01/10/2015,2015-10-01,2.667510698
RTI 3-month average,01/11/2015,2015-11-01,2.656512171
RTI 3-month average,01/12/2015,2015-12-01,2.611879412
RTI 3-month average,01/01/2016,2016-01-01,2.415513021
RTI 3-month average,01/02/2016,2016-02-01,2.252514186
RTI 3-month average,01/03/2016,2016-03-01,2.049405706
RTI 3-month average,01/04/2016,2016-04-01,1.903041671
RTI 3-month average,01/05/2016,2016-05-01,1.770657975
RTI 3-month average,01/06/2016,2016-06-01,1.68554368
RTI 3-month average,01/07/2016,2016-07-01,1.619995532
RTI 3-month average,01/08/2016,2016-08-01,1.526776096
RTI 3-month average,01/09/2016,2016-09-01,1.439144561
RTI 3-month average,01/10/2016,2016-10-01,1.335083762
RTI 3-month average,01/11/2016,2016-11-01,1.260450348
RTI 3-month average,01/12/2016,2016-12-01,1.282662838
RTI 3-month average,01/01/2017,2017-01-01,1.260716264
RTI 3-month average,01/02/2017,2017-02-01,1.255893562
RTI 3-month average,01/03/2017,2017-03-01,1.214917786
RTI 3-month average,01/04/2017,2017-04-01,1.264574769
RTI 3-month average,01/05/2017,2017-05-01,1.306394973
RTI 3-month average,01/06/2017,2017-06-01,1.307810778
RTI 3-month average,01/07/2017,2017-07-01,1.281280864
RTI 3-month average,01/08/2017,2017-08-01,1.296789611
RTI 3-month average,01/09/2017,2017-09-01,1.318982586
RTI 3-month average,01/10/2017,2017-10-01,1.366544154
RTI 3-month average,01/11/2017,2017-11-01,1.371702179
RTI 3-month average,01/12/2017,2017-12-01,1.36436803
RTI 3-month average,01/01/2018,2018-01-01,1.362370609
RTI 3-month average,01/02/2018,2018-02-01,1.325942832
RTI 3-month average,01/03/2018,2018-03-01,1.241039256
RTI 3-month average,01/04/2018,2018-04-01,1.180516583
RTI 3-month average,01/05/2018,2018-05-01,1.123394196
RTI 3-month average,01/06/2018,2018-06-01,1.110961845
RTI 3-month average,01/07/2018,2018-07-01,1.085756949
RTI 3-month average,01/08/2018,2018-08-01,1.101274011
RTI 3-month average,01/09/2018,2018-09-01,1.096538124
RTI 3-month average,01/10/2018,2018-10-01,1.072893256
RTI 3-month average,01/11/2018,2018-11-01,1.066626874
RTI 3-month average,01/12/2018,2018-12-01,1.058336721
RTI 3-month average,01/01/2019,2019-01-01,1.061445828
RTI 3-month average,01/02/2019,2019-02-01,1.065403102
RTI 3-month average,01/03/2019,2019-03-01,1.178755121
RTI 3-month average,01/04/2019,2019-04-01,1.210029949
RTI 3-month average,01/05/2019,2019-05-01,1.208242422
RTI 3-month average,01/06/2019,2019-06-01,1.118135282
RTI 3-month average,01/07/2019,2019-07-01,1.042380063
RTI 3-month average,01/08/2019,2019-08-01,0.970004591
RTI 3-month average,01/09/2019,2019-09-01,0.93454701
RTI 3-month average,01/10/2019,2019-10-01,0.927313761
RTI 3-month average,01/11/2019,2019-11-01,0.865810874
RTI 3-month average,01/12/2019,2019-12-01,0.800293735
RTI 3-month average,01/01/2020,2020-01-01,0.773083858
RTI 3-month average,01/02/2020,2020-02-01,0.759539562
RTI 3-month average,01/03/2020,2020-03-01,0.633112358
RTI 3-month average,01/04/2020,2020-04-01,-0.050056268
RTI 3-month average,01/05/2020,2020-05-01,-0.881239029
RTI 3-month average,01/06/2020,2020-06-01,-1.680697701
RTI 3-month average,01/07/2020,2020-07-01,-1.946130577
RTI 3-month average,01/08/2020,2020-08-01,-2.115594591
RTI 3-month average,01/09/2020,2020-09-01,-2.299646279
RTI 3-month average,01/10/2020,2020-10-01,-2.518664783
