date,metric,value
01/10/2005,Real wages (total),1.9
01/11/2005,Real wages (total),2.4
01/12/2005,Real wages (total),2.1
01/01/2006,Real wages (total),1.5
01/02/2006,Real wages (total),3.8
01/03/2006,Real wages (total),3
01/04/2006,Real wages (total),2.6
01/05/2006,Real wages (total),2.1
01/06/2006,Real wages (total),2.8
01/07/2006,Real wages (total),2.1
01/08/2006,Real wages (total),1.1
01/09/2006,Real wages (total),1.3
01/10/2006,Real wages (total),1.9
01/11/2006,Real wages (total),1.6
01/12/2006,Real wages (total),2.6
01/01/2007,Real wages (total),3.7
01/02/2007,Real wages (total),4.5
01/03/2007,Real wages (total),1
01/04/2007,Real wages (total),1.7
01/05/2007,Real wages (total),2.2
01/06/2007,Real wages (total),1.8
01/07/2007,Real wages (total),2.7
01/08/2007,Real wages (total),3.2
01/09/2007,Real wages (total),3.4
01/10/2007,Real wages (total),2.1
01/11/2007,Real wages (total),2.3
01/12/2007,Real wages (total),0.7
01/01/2008,Real wages (total),1.5
01/02/2008,Real wages (total),1.8
01/03/2008,Real wages (total),2.1
01/04/2008,Real wages (total),1.4
01/05/2008,Real wages (total),0.9
01/06/2008,Real wages (total),-0.3
01/07/2008,Real wages (total),-0.9
01/08/2008,Real wages (total),-1.3
01/09/2008,Real wages (total),-2.1
01/10/2008,Real wages (total),-0.9
01/11/2008,Real wages (total),-1.5
01/12/2008,Real wages (total),-0.4
01/01/2009,Real wages (total),-4
01/02/2009,Real wages (total),-8.3
01/03/2009,Real wages (total),-4.8
01/04/2009,Real wages (total),-0.2
01/05/2009,Real wages (total),-1.2
01/06/2009,Real wages (total),-0.7
01/07/2009,Real wages (total),-1.2
01/08/2009,Real wages (total),-0.8
01/09/2009,Real wages (total),-0.2
01/10/2009,Real wages (total),-1
01/11/2009,Real wages (total),-0.7
01/12/2009,Real wages (total),-0.9
01/01/2010,Real wages (total),-1
01/02/2010,Real wages (total),3.9
01/03/2010,Real wages (total),3.6
01/04/2010,Real wages (total),-2.3
01/05/2010,Real wages (total),-1.2
01/06/2010,Real wages (total),-0.9
01/07/2010,Real wages (total),-0.6
01/08/2010,Real wages (total),-0.5
01/09/2010,Real wages (total),-0.4
01/10/2010,Real wages (total),-0.4
01/11/2010,Real wages (total),-0.6
01/12/2010,Real wages (total),-1.6
01/01/2011,Real wages (total),1.5
01/02/2011,Real wages (total),-1.6
01/03/2011,Real wages (total),-1.5
01/04/2011,Real wages (total),-1.4
01/05/2011,Real wages (total),-1.5
01/06/2011,Real wages (total),-0.9
01/07/2011,Real wages (total),-1.1
01/08/2011,Real wages (total),-2
01/09/2011,Real wages (total),-2.6
01/10/2011,Real wages (total),-2.2
01/11/2011,Real wages (total),-2.2
01/12/2011,Real wages (total),-1.5
01/01/2012,Real wages (total),-2.6
01/02/2012,Real wages (total),-1.9
01/03/2012,Real wages (total),-2.4
01/04/2012,Real wages (total),-0.8
01/05/2012,Real wages (total),-0.9
01/06/2012,Real wages (total),-1.2
01/07/2012,Real wages (total),-1
01/08/2012,Real wages (total),-0.1
01/09/2012,Real wages (total),-0.4
01/10/2012,Real wages (total),-1
01/11/2012,Real wages (total),-0.9
01/12/2012,Real wages (total),-1.1
01/01/2013,Real wages (total),-1.1
01/02/2013,Real wages (total),-1.2
01/03/2013,Real wages (total),-2.9
01/04/2013,Real wages (total),0.9
01/05/2013,Real wages (total),-0.8
01/06/2013,Real wages (total),-1.4
01/07/2013,Real wages (total),-1.6
01/08/2013,Real wages (total),-1.8
01/09/2013,Real wages (total),-1.4
01/10/2013,Real wages (total),-1.1
01/11/2013,Real wages (total),-1.1
01/12/2013,Real wages (total),-0.5
01/01/2014,Real wages (total),-0.1
01/02/2014,Real wages (total),0.4
01/03/2014,Real wages (total),-0.5
01/04/2014,Real wages (total),-3
01/05/2014,Real wages (total),-1.2
01/06/2014,Real wages (total),-1
01/07/2014,Real wages (total),-1.2
01/08/2014,Real wages (total),-0.7
01/09/2014,Real wages (total),0.1
01/10/2014,Real wages (total),0.6
01/11/2014,Real wages (total),0.7
01/12/2014,Real wages (total),1.6
01/01/2015,Real wages (total),0.9
01/02/2015,Real wages (total),1
01/03/2015,Real wages (total),3.7
01/04/2015,Real wages (total),2.2
01/05/2015,Real wages (total),2.2
01/06/2015,Real wages (total),2
01/07/2015,Real wages (total),3.1
01/08/2015,Real wages (total),2.8
01/09/2015,Real wages (total),1.9
01/10/2015,Real wages (total),1.6
01/11/2015,Real wages (total),1.6
01/12/2015,Real wages (total),1.2
01/01/2016,Real wages (total),2
01/02/2016,Real wages (total),0.9
01/03/2016,Real wages (total),1.6
01/04/2016,Real wages (total),1.8
01/05/2016,Real wages (total),1.7
01/06/2016,Real wages (total),1.7
01/07/2016,Real wages (total),1.6
01/08/2016,Real wages (total),1.2
01/09/2016,Real wages (total),1.2
01/10/2016,Real wages (total),1.4
01/11/2016,Real wages (total),1.3
01/12/2016,Real wages (total),0.1
01/01/2017,Real wages (total),-0.2
01/02/2017,Real wages (total),0.4
01/03/2017,Real wages (total),-0.2
01/04/2017,Real wages (total),-0.8
01/05/2017,Real wages (total),-0.7
01/06/2017,Real wages (total),0.4
01/07/2017,Real wages (total),-1
01/08/2017,Real wages (total),-0.4
01/09/2017,Real wages (total),0.1
01/10/2017,Real wages (total),-0.4
01/11/2017,Real wages (total),-0.5
01/12/2017,Real wages (total),0.4
01/01/2018,Real wages (total),-0.1
01/02/2018,Real wages (total),0.2
01/03/2018,Real wages (total),0.9
01/04/2018,Real wages (total),0
01/05/2018,Real wages (total),0.2
01/06/2018,Real wages (total),-0.2
01/07/2018,Real wages (total),1
01/08/2018,Real wages (total),0.8
01/09/2018,Real wages (total),0.6
01/10/2018,Real wages (total),1.9
01/11/2018,Real wages (total),1.1
01/12/2018,Real wages (total),1.2
01/01/2019,Real wages (total),1.9
01/02/2019,Real wages (total),1.7
01/03/2019,Real wages (total),0.6
01/04/2019,Real wages (total),2
01/05/2019,Real wages (total),2
01/06/2019,Real wages (total),1.9
01/07/2019,Real wages (total),2.1
01/08/2019,Real wages (total),1.5
01/09/2019,Real wages (total),2.4
01/10/2019,Real wages (total),0.9
01/11/2019,Real wages (total),1.6
01/12/2019,Real wages (total),1.3
01/01/2020,Real wages (total),1.3
01/02/2020,Real wages (total),1
01/03/2020,Real wages (total),-0.2
01/04/2020,Real wages (total),-2
01/05/2020,Real wages (total),-2
01/06/2020,Real wages (total),-2.2
01/07/2020,Real wages (total),-1.3
01/08/2020,Real wages (total),1.6
01/09/2020,Real wages (total),1.3
01/10/2020,Real wages (total),3.1
01/11/2020,Real wages (total),4.8
01/12/2020,Real wages (total),3.9
01/01/2021,Real wages (total),3.7
01/02/2021,Real wages (total),3.3
01/03/2021,Real wages (total),3
01/04/2021,Real wages (total),7.7
01/05/2021,Real wages (total),6.6
01/06/2021,Real wages (total),6.4
01/07/2021,Real wages (total),5.1
01/08/2021,Real wages (total),2.7
01/09/2021,Real wages (total),1.8
01/10/2021,Real wages (total),0.6
01/11/2021,Real wages (total),-0.9
01/12/2021,Real wages (total),1
01/01/2022,Real wages (total),0.4
01/02/2022,Real wages (total),0.3
01/03/2022,Real wages (total),3.7
01/04/2022,Real wages (total),-2.7
01/05/2022,Real wages (total),-3.2
01/06/2022,Real wages (total),-1.8
01/01/2001,Real wages (regular),2.4
01/02/2001,Real wages (regular),2.4
01/03/2001,Real wages (regular),3.3
01/04/2001,Real wages (regular),3.8
01/05/2001,Real wages (regular),2.9
01/06/2001,Real wages (regular),2.9
01/07/2001,Real wages (regular),3.7
01/08/2001,Real wages (regular),3.5
01/09/2001,Real wages (regular),3.1
01/10/2001,Real wages (regular),3.2
01/11/2001,Real wages (regular),3.5
01/12/2001,Real wages (regular),3
01/01/2002,Real wages (regular),2.7
01/02/2002,Real wages (regular),3.4
01/03/2002,Real wages (regular),3.1
01/04/2002,Real wages (regular),2.3
01/05/2002,Real wages (regular),2.8
01/06/2002,Real wages (regular),3.4
01/07/2002,Real wages (regular),2.5
01/08/2002,Real wages (regular),1.7
01/09/2002,Real wages (regular),2
01/10/2002,Real wages (regular),1.6
01/11/2002,Real wages (regular),1.4
01/12/2002,Real wages (regular),1.2
01/01/2003,Real wages (regular),2
01/02/2003,Real wages (regular),1.5
01/03/2003,Real wages (regular),1.1
01/04/2003,Real wages (regular),1.6
01/05/2003,Real wages (regular),1.9
01/06/2003,Real wages (regular),1.7
01/07/2003,Real wages (regular),1.7
01/08/2003,Real wages (regular),2.2
01/09/2003,Real wages (regular),2.3
01/10/2003,Real wages (regular),2.3
01/11/2003,Real wages (regular),2.4
01/12/2003,Real wages (regular),3
01/01/2004,Real wages (regular),1.9
01/02/2004,Real wages (regular),1.8
01/03/2004,Real wages (regular),2.3
01/04/2004,Real wages (regular),2.4
01/05/2004,Real wages (regular),2.1
01/06/2004,Real wages (regular),2
01/07/2004,Real wages (regular),2.3
01/08/2004,Real wages (regular),2.5
01/09/2004,Real wages (regular),2.3
01/10/2004,Real wages (regular),2.6
01/11/2004,Real wages (regular),2.2
01/12/2004,Real wages (regular),2.4
01/01/2005,Real wages (regular),2.5
01/02/2005,Real wages (regular),2.5
01/03/2005,Real wages (regular),2.6
01/04/2005,Real wages (regular),2.2
01/05/2005,Real wages (regular),2.2
01/06/2005,Real wages (regular),2.3
01/07/2005,Real wages (regular),2.1
01/08/2005,Real wages (regular),2
01/09/2005,Real wages (regular),2
01/10/2005,Real wages (regular),1.8
01/11/2005,Real wages (regular),2
01/12/2005,Real wages (regular),1.5
01/01/2006,Real wages (regular),1.8
01/02/2006,Real wages (regular),2
01/03/2006,Real wages (regular),1.6
01/04/2006,Real wages (regular),1.5
01/05/2006,Real wages (regular),1.5
01/06/2006,Real wages (regular),1.6
01/07/2006,Real wages (regular),1.1
01/08/2006,Real wages (regular),0.7
01/09/2006,Real wages (regular),1
01/10/2006,Real wages (regular),1.5
01/11/2006,Real wages (regular),1.3
01/12/2006,Real wages (regular),1.2
01/01/2007,Real wages (regular),1.1
01/02/2007,Real wages (regular),1.1
01/03/2007,Real wages (regular),1
01/04/2007,Real wages (regular),1.2
01/05/2007,Real wages (regular),1.7
01/06/2007,Real wages (regular),1.7
01/07/2007,Real wages (regular),2.6
01/08/2007,Real wages (regular),2.9
01/09/2007,Real wages (regular),2.5
01/10/2007,Real wages (regular),1.6
01/11/2007,Real wages (regular),1.8
01/12/2007,Real wages (regular),1.6
01/01/2008,Real wages (regular),1.7
01/02/2008,Real wages (regular),1.6
01/03/2008,Real wages (regular),1.7
01/04/2008,Real wages (regular),1.5
01/05/2008,Real wages (regular),0.4
01/06/2008,Real wages (regular),-0.2
01/07/2008,Real wages (regular),-0.8
01/08/2008,Real wages (regular),-1.1
01/09/2008,Real wages (regular),-1.5
01/10/2008,Real wages (regular),-0.5
01/11/2008,Real wages (regular),-0.5
01/12/2008,Real wages (regular),0.1
01/01/2009,Real wages (regular),-0.2
01/02/2009,Real wages (regular),-0.4
01/03/2009,Real wages (regular),-0.8
01/04/2009,Real wages (regular),-0.3
01/05/2009,Real wages (regular),0.2
01/06/2009,Real wages (regular),0.3
01/07/2009,Real wages (regular),-0.2
01/08/2009,Real wages (regular),-0.2
01/09/2009,Real wages (regular),0.5
01/10/2009,Real wages (regular),-0.2
01/11/2009,Real wages (regular),-0.5
01/12/2009,Real wages (regular),-0.7
01/01/2010,Real wages (regular),-0.6
01/02/2010,Real wages (regular),-0.5
01/03/2010,Real wages (regular),-0.2
01/04/2010,Real wages (regular),-1.2
01/05/2010,Real wages (regular),-1.3
01/06/2010,Real wages (regular),-1
01/07/2010,Real wages (regular),-0.1
01/08/2010,Real wages (regular),-0.1
01/09/2010,Real wages (regular),-0.2
01/10/2010,Real wages (regular),-0.3
01/11/2010,Real wages (regular),-0.2
01/12/2010,Real wages (regular),-1.2
01/01/2011,Real wages (regular),-1
01/02/2011,Real wages (regular),-1.5
01/03/2011,Real wages (regular),-1.8
01/04/2011,Real wages (regular),-1.6
01/05/2011,Real wages (regular),-1.5
01/06/2011,Real wages (regular),-1.6
01/07/2011,Real wages (regular),-2.2
01/08/2011,Real wages (regular),-2.2
01/09/2011,Real wages (regular),-2.7
01/10/2011,Real wages (regular),-2.3
01/11/2011,Real wages (regular),-2.3
01/12/2011,Real wages (regular),-1.6
01/01/2012,Real wages (regular),-2.1
01/02/2012,Real wages (regular),-1.4
01/03/2012,Real wages (regular),-1.1
01/04/2012,Real wages (regular),-1.1
01/05/2012,Real wages (regular),-0.8
01/06/2012,Real wages (regular),-0.4
01/07/2012,Real wages (regular),-0.5
01/08/2012,Real wages (regular),-0.2
01/09/2012,Real wages (regular),-0.5
01/10/2012,Real wages (regular),-1.1
01/11/2012,Real wages (regular),-1
01/12/2012,Real wages (regular),-1.2
01/01/2013,Real wages (regular),-1.4
01/02/2013,Real wages (regular),-1.7
01/03/2013,Real wages (regular),-1.8
01/04/2013,Real wages (regular),-1.1
01/05/2013,Real wages (regular),-1.4
01/06/2013,Real wages (regular),-1.7
01/07/2013,Real wages (regular),-1.4
01/08/2013,Real wages (regular),-1.9
01/09/2013,Real wages (regular),-1.7
01/10/2013,Real wages (regular),-1.1
01/11/2013,Real wages (regular),-1.3
01/12/2013,Real wages (regular),-0.7
01/01/2014,Real wages (regular),-0.1
01/02/2014,Real wages (regular),-0.6
01/03/2014,Real wages (regular),-0.8
01/04/2014,Real wages (regular),-1.2
01/05/2014,Real wages (regular),-0.9
01/06/2014,Real wages (regular),-1.1
01/07/2014,Real wages (regular),-1
01/08/2014,Real wages (regular),-0.5
01/09/2014,Real wages (regular),0.4
01/10/2014,Real wages (regular),0.4
01/11/2014,Real wages (regular),0.5
01/12/2014,Real wages (regular),0.7
01/01/2015,Real wages (regular),1
01/02/2015,Real wages (regular),1.8
01/03/2015,Real wages (regular),2.5
01/04/2015,Real wages (regular),2.4
01/05/2015,Real wages (regular),2.2
01/06/2015,Real wages (regular),2.4
01/07/2015,Real wages (regular),2.5
01/08/2015,Real wages (regular),2.2
01/09/2015,Real wages (regular),1.6
01/10/2015,Real wages (regular),1.4
01/11/2015,Real wages (regular),1.7
01/12/2015,Real wages (regular),1.5
01/01/2016,Real wages (regular),1.6
01/02/2016,Real wages (regular),1.8
01/03/2016,Real wages (regular),1.4
01/04/2016,Real wages (regular),1.6
01/05/2016,Real wages (regular),1.3
01/06/2016,Real wages (regular),1.4
01/07/2016,Real wages (regular),1.3
01/08/2016,Real wages (regular),1.4
01/09/2016,Real wages (regular),1.3
01/10/2016,Real wages (regular),1.3
01/11/2016,Real wages (regular),1.2
01/12/2016,Real wages (regular),0.5
01/01/2017,Real wages (regular),0.1
01/02/2017,Real wages (regular),-0.6
01/03/2017,Real wages (regular),-0.5
01/04/2017,Real wages (regular),-0.7
01/05/2017,Real wages (regular),-0.3
01/06/2017,Real wages (regular),-0.3
01/07/2017,Real wages (regular),-0.5
01/08/2017,Real wages (regular),-0.4
01/09/2017,Real wages (regular),-0.4
01/10/2017,Real wages (regular),-0.4
01/11/2017,Real wages (regular),-0.6
01/12/2017,Real wages (regular),0
01/01/2018,Real wages (regular),0
01/02/2018,Real wages (regular),0.4
01/03/2018,Real wages (regular),0.7
01/04/2018,Real wages (regular),0.4
01/05/2018,Real wages (regular),0.3
01/06/2018,Real wages (regular),0.5
01/07/2018,Real wages (regular),0.8
01/08/2018,Real wages (regular),0.9
01/09/2018,Real wages (regular),0.9
01/10/2018,Real wages (regular),1.2
01/11/2018,Real wages (regular),1.2
01/12/2018,Real wages (regular),1.2
01/01/2019,Real wages (regular),1.8
01/02/2019,Real wages (regular),1.4
01/03/2019,Real wages (regular),1.3
01/04/2019,Real wages (regular),2
01/05/2019,Real wages (regular),1.9
01/06/2019,Real wages (regular),2.1
01/07/2019,Real wages (regular),1.8
01/08/2019,Real wages (regular),1.8
01/09/2019,Real wages (regular),1.9
01/10/2019,Real wages (regular),1.6
01/11/2019,Real wages (regular),1.7
01/12/2019,Real wages (regular),1.8
01/01/2020,Real wages (regular),0.9
01/02/2020,Real wages (regular),1.2
01/03/2020,Real wages (regular),0.9
01/04/2020,Real wages (regular),-0.9
01/05/2020,Real wages (regular),-0.8
01/06/2020,Real wages (regular),-0.9
01/07/2020,Real wages (regular),-0.1
01/08/2020,Real wages (regular),1.5
01/09/2020,Real wages (regular),2.1
01/10/2020,Real wages (regular),2.8
01/11/2020,Real wages (regular),3.6
01/12/2020,Real wages (regular),3.5
01/01/2021,Real wages (regular),3.3
01/02/2021,Real wages (regular),3.6
01/03/2021,Real wages (regular),3.8
01/04/2021,Real wages (regular),5.9
01/05/2021,Real wages (regular),5.1
01/06/2021,Real wages (regular),4.6
01/07/2021,Real wages (regular),3.8
01/08/2021,Real wages (regular),1.8
01/09/2021,Real wages (regular),1.1
01/10/2021,Real wages (regular),0
01/11/2021,Real wages (regular),-1
01/12/2021,Real wages (regular),-1.1
01/01/2022,Real wages (regular),-0.6
01/02/2022,Real wages (regular),-1.2
01/03/2022,Real wages (regular),-1.9
01/04/2022,Real wages (regular),-3.4
01/05/2022,Real wages (regular),-2.6
01/06/2022,Real wages (regular),-2.8
01/01/2001,CPIH,1.2
01/02/2001,CPIH,1.2
01/03/2001,CPIH,1.3
01/04/2001,CPIH,1.5
01/05/2001,CPIH,1.9
01/06/2001,CPIH,1.9
01/07/2001,CPIH,1.7
01/08/2001,CPIH,2.1
01/09/2001,CPIH,1.7
01/10/2001,CPIH,1.6
01/11/2001,CPIH,1.2
01/12/2001,CPIH,1.4
01/01/2002,CPIH,1.8
01/02/2002,CPIH,1.7
01/03/2002,CPIH,1.7
01/04/2002,CPIH,1.6
01/05/2002,CPIH,1.2
01/06/2002,CPIH,1.1
01/07/2002,CPIH,1.4
01/08/2002,CPIH,1.3
01/09/2002,CPIH,1.2
01/10/2002,CPIH,1.5
01/11/2002,CPIH,1.6
01/12/2002,CPIH,1.7
01/01/2003,CPIH,1.4
01/02/2003,CPIH,1.6
01/03/2003,CPIH,1.6
01/04/2003,CPIH,1.5
01/05/2003,CPIH,1.3
01/06/2003,CPIH,1.2
01/07/2003,CPIH,1.3
01/08/2003,CPIH,1.4
01/09/2003,CPIH,1.3
01/10/2003,CPIH,1.3
01/11/2003,CPIH,1.3
01/12/2003,CPIH,1.3
01/01/2004,CPIH,1.5
01/02/2004,CPIH,1.4
01/03/2004,CPIH,1.2
01/04/2004,CPIH,1.1
01/05/2004,CPIH,1.4
01/06/2004,CPIH,1.5
01/07/2004,CPIH,1.4
01/08/2004,CPIH,1.4
01/09/2004,CPIH,1.2
01/10/2004,CPIH,1.3
01/11/2004,CPIH,1.5
01/12/2004,CPIH,1.8
01/01/2005,CPIH,1.7
01/02/2005,CPIH,1.7
01/03/2005,CPIH,2
01/04/2005,CPIH,1.9
01/05/2005,CPIH,1.9
01/06/2005,CPIH,2
01/07/2005,CPIH,2.3
01/08/2005,CPIH,2.4
01/09/2005,CPIH,2.5
01/10/2005,CPIH,2.4
01/11/2005,CPIH,2.2
01/12/2005,CPIH,2.1
01/01/2006,CPIH,2.2
01/02/2006,CPIH,2.2
01/03/2006,CPIH,2
01/04/2006,CPIH,2.2
01/05/2006,CPIH,2.4
01/06/2006,CPIH,2.6
01/07/2006,CPIH,2.5
01/08/2006,CPIH,2.6
01/09/2006,CPIH,2.5
01/10/2006,CPIH,2.5
01/11/2006,CPIH,2.8
01/12/2006,CPIH,2.9
01/01/2007,CPIH,2.7
01/02/2007,CPIH,2.7
01/03/2007,CPIH,2.9
01/04/2007,CPIH,2.7
01/05/2007,CPIH,2.5
01/06/2007,CPIH,2.5
01/07/2007,CPIH,2
01/08/2007,CPIH,2
01/09/2007,CPIH,2
01/10/2007,CPIH,2.3
01/11/2007,CPIH,2.2
01/12/2007,CPIH,2.3
01/01/2008,CPIH,2.4
01/02/2008,CPIH,2.6
01/03/2008,CPIH,2.6
01/04/2008,CPIH,3
01/05/2008,CPIH,3.3
01/06/2008,CPIH,3.7
01/07/2008,CPIH,4.2
01/08/2008,CPIH,4.4
01/09/2008,CPIH,4.8
01/10/2008,CPIH,4.2
01/11/2008,CPIH,3.8
01/12/2008,CPIH,3
01/01/2009,CPIH,2.9
01/02/2009,CPIH,3.1
01/03/2009,CPIH,2.8
01/04/2009,CPIH,2.3
01/05/2009,CPIH,2.1
01/06/2009,CPIH,1.7
01/07/2009,CPIH,1.6
01/08/2009,CPIH,1.4
01/09/2009,CPIH,1
01/10/2009,CPIH,1.2
01/11/2009,CPIH,1.5
01/12/2009,CPIH,2.1
01/01/2010,CPIH,2.6
01/02/2010,CPIH,2.1
01/03/2010,CPIH,2.4
01/04/2010,CPIH,2.7
01/05/2010,CPIH,2.5
01/06/2010,CPIH,2.4
01/07/2010,CPIH,2.3
01/08/2010,CPIH,2.4
01/09/2010,CPIH,2.4
01/10/2010,CPIH,2.5
01/11/2010,CPIH,2.6
01/12/2010,CPIH,3.1
01/01/2011,CPIH,3.4
01/02/2011,CPIH,3.7
01/03/2011,CPIH,3.5
01/04/2011,CPIH,3.8
01/05/2011,CPIH,3.8
01/06/2011,CPIH,3.6
01/07/2011,CPIH,3.8
01/08/2011,CPIH,3.9
01/09/2011,CPIH,4.5
01/10/2011,CPIH,4.3
01/11/2011,CPIH,4.1
01/12/2011,CPIH,3.7
01/01/2012,CPIH,3.2
01/02/2012,CPIH,3.1
01/03/2012,CPIH,3.1
01/04/2012,CPIH,2.8
01/05/2012,CPIH,2.5
01/06/2012,CPIH,2.3
01/07/2012,CPIH,2.4
01/08/2012,CPIH,2.3
01/09/2012,CPIH,2.1
01/10/2012,CPIH,2.4
01/11/2012,CPIH,2.4
01/12/2012,CPIH,2.4
01/01/2013,CPIH,2.4
01/02/2013,CPIH,2.5
01/03/2013,CPIH,2.5
01/04/2013,CPIH,2.2
01/05/2013,CPIH,2.4
01/06/2013,CPIH,2.6
01/07/2013,CPIH,2.5
01/08/2013,CPIH,2.4
01/09/2013,CPIH,2.4
01/10/2013,CPIH,2
01/11/2013,CPIH,1.9
01/12/2013,CPIH,1.9
01/01/2014,CPIH,1.8
01/02/2014,CPIH,1.6
01/03/2014,CPIH,1.5
01/04/2014,CPIH,1.7
01/05/2014,CPIH,1.5
01/06/2014,CPIH,1.8
01/07/2014,CPIH,1.6
01/08/2014,CPIH,1.5
01/09/2014,CPIH,1.3
01/10/2014,CPIH,1.3
01/11/2014,CPIH,1.1
01/12/2014,CPIH,0.7
01/01/2015,CPIH,0.5
01/02/2015,CPIH,0.4
01/03/2015,CPIH,0.3
01/04/2015,CPIH,0.3
01/05/2015,CPIH,0.4
01/06/2015,CPIH,0.3
01/07/2015,CPIH,0.5
01/08/2015,CPIH,0.4
01/09/2015,CPIH,0.2
01/10/2015,CPIH,0.2
01/11/2015,CPIH,0.4
01/12/2015,CPIH,0.5
01/01/2016,CPIH,0.6
01/02/2016,CPIH,0.6
01/03/2016,CPIH,0.8
01/04/2016,CPIH,0.7
01/05/2016,CPIH,0.7
01/06/2016,CPIH,0.8
01/07/2016,CPIH,0.9
01/08/2016,CPIH,1
01/09/2016,CPIH,1.3
01/10/2016,CPIH,1.3
01/11/2016,CPIH,1.5
01/12/2016,CPIH,1.8
01/01/2017,CPIH,1.9
01/02/2017,CPIH,2.3
01/03/2017,CPIH,2.3
01/04/2017,CPIH,2.6
01/05/2017,CPIH,2.7
01/06/2017,CPIH,2.6
01/07/2017,CPIH,2.6
01/08/2017,CPIH,2.7
01/09/2017,CPIH,2.8
01/10/2017,CPIH,2.8
01/11/2017,CPIH,2.8
01/12/2017,CPIH,2.7
01/01/2018,CPIH,2.7
01/02/2018,CPIH,2.5
01/03/2018,CPIH,2.3
01/04/2018,CPIH,2.2
01/05/2018,CPIH,2.3
01/06/2018,CPIH,2.3
01/07/2018,CPIH,2.3
01/08/2018,CPIH,2.4
01/09/2018,CPIH,2.2
01/10/2018,CPIH,2.2
01/11/2018,CPIH,2.2
01/12/2018,CPIH,2
01/01/2019,CPIH,1.8
01/02/2019,CPIH,1.8
01/03/2019,CPIH,1.8
01/04/2019,CPIH,2
01/05/2019,CPIH,1.9
01/06/2019,CPIH,1.9
01/07/2019,CPIH,2
01/08/2019,CPIH,1.7
01/09/2019,CPIH,1.7
01/10/2019,CPIH,1.5
01/11/2019,CPIH,1.5
01/12/2019,CPIH,1.4
01/01/2020,CPIH,1.8
01/02/2020,CPIH,1.7
01/03/2020,CPIH,1.5
01/04/2020,CPIH,0.9
01/05/2020,CPIH,0.7
01/06/2020,CPIH,0.8
01/07/2020,CPIH,1.1
01/08/2020,CPIH,0.5
01/09/2020,CPIH,0.7
01/10/2020,CPIH,0.9
01/11/2020,CPIH,0.6
01/12/2020,CPIH,0.8
01/01/2021,CPIH,0.9
01/02/2021,CPIH,0.7
01/03/2021,CPIH,1
01/04/2021,CPIH,1.6
01/05/2021,CPIH,2.1
01/06/2021,CPIH,2.4
01/07/2021,CPIH,2.1
01/08/2021,CPIH,3
01/09/2021,CPIH,2.9
01/10/2021,CPIH,3.8
01/11/2021,CPIH,4.6
01/12/2021,CPIH,4.8
01/01/2022,CPIH,4.9
01/02/2022,CPIH,5.5
01/03/2022,CPIH,6.2
01/04/2022,CPIH,7.8
01/05/2022,CPIH,7.9
01/06/2022,CPIH,8.2
