date,metric,value,value2
2020,Inflation,-1.05,null
2021,Inflation,-2.46,null
2022,Inflation,null,-5.5
1921,Nominal income ,-16.55,null
1922,Nominal income ,-11.23,null
1923,Nominal income ,-2.66,null
1924,Nominal income ,2.97,null
1925,Nominal income ,1.06,null
1926,Nominal income ,-0.9,null
1927,Nominal income ,3.95,null
1928,Nominal income ,-0.38,null
1929,Nominal income ,0.96,null
1930,Nominal income ,-2.19,null
1931,Nominal income ,-4.14,null
1932,Nominal income ,-4.5,null
1933,Nominal income ,1.97,null
1934,Nominal income ,1.38,null
1935,Nominal income ,4.54,null
1936,Nominal income ,5.03,null
1937,Nominal income ,3.57,null
1938,Nominal income ,0.75,null
1939,Nominal income ,6.14,null
1940,Nominal income ,15.9,null
1941,Nominal income ,10.62,null
1942,Nominal income ,6.08,null
1943,Nominal income ,2.81,null
1944,Nominal income ,1.2,null
1945,Nominal income ,0.29,null
1946,Nominal income ,3.65,null
1947,Nominal income ,8.01,null
1948,Nominal income ,6.65,null
1949,Nominal income ,4.57,null
1950,Nominal income ,5.54,null
1951,Nominal income ,8.73,null
1952,Nominal income ,7.25,null
1953,Nominal income ,6.95,null
1954,Nominal income ,4.96,null
1955,Nominal income ,8.13,null
1956,Nominal income ,7.08,null
1957,Nominal income ,4.74,null
1958,Nominal income ,4.43,null
1959,Nominal income ,5.78,null
1960,Nominal income ,7.09,null
1961,Nominal income ,6.53,null
1962,Nominal income ,4.14,null
1963,Nominal income ,5.2,null
1964,Nominal income ,7.64,null
1965,Nominal income ,6.88,null
1966,Nominal income ,5.94,null
1967,Nominal income ,3.9,null
1968,Nominal income ,6.57,null
1969,Nominal income ,6.69,null
1970,Nominal income ,10.21,null
1971,Nominal income ,9.87,null
1972,Nominal income ,15.6,null
1973,Nominal income ,16.07,null
1974,Nominal income ,17.42,null
1975,Nominal income ,24.47,null
1976,Nominal income ,16.21,null
1977,Nominal income ,13.07,null
1978,Nominal income ,18,null
1979,Nominal income ,20.41,null
1980,Nominal income ,18.65,null
1981,Nominal income ,11.86,null
1982,Nominal income ,9.48,null
1983,Nominal income ,8.48,null
1984,Nominal income ,8.98,null
1985,Nominal income ,8.53,null
1986,Nominal income ,8.47,null
1987,Nominal income ,6.58,null
1988,Nominal income ,10.54,null
1989,Nominal income ,10.77,null
1990,Nominal income ,11.51,null
1991,Nominal income ,9.15,null
1992,Nominal income ,6.6,null
1993,Nominal income ,5.88,null
1994,Nominal income ,3.41,null
1995,Nominal income ,5.66,null
1996,Nominal income ,5.99,null
1997,Nominal income ,4.02,null
1998,Nominal income ,2.26,null
1999,Nominal income ,4.78,null
2000,Nominal income ,6.49,null
2001,Nominal income ,3.59,null
2002,Nominal income ,3.04,null
2003,Nominal income ,2.68,null
2004,Nominal income ,4.01,null
2005,Nominal income ,4.1,null
2006,Nominal income ,4.31,null
2007,Nominal income ,4.92,null
2008,Nominal income ,2.72,null
2009,Nominal income ,1.68,null
2010,Nominal income ,1.13,null
2011,Nominal income ,1,null
2012,Nominal income ,3.69,null
2013,Nominal income ,3.28,null
2014,Nominal income ,2.51,null
2015,Nominal income ,5.25,null
2016,Nominal income ,0.78,null
2017,Nominal income ,2.07,null
2018,Nominal income ,4.24,null
2019,Nominal income ,2.13,null
2020,Nominal income ,0.35,null
2021,Nominal income ,3.39,null
2022,Nominal income ,null,3.62
