Period,UK redundancy rate,Measure
Jan-Mar 2019,3.34,Redundancy
Feb-Apr 2019,3.9,Redundancy
Mar-May 2019,3.63,Redundancy
Apr-Jun 2019,3.75,Redundancy
May-Jul 2019,3.54,Redundancy
Jun-Aug 2019,4.15,Redundancy
Jul-Sep 2019,4.28,Redundancy
Aug-Oct 2019,4.28,Redundancy
Sep-Nov 2019,4.16,Redundancy
Oct-Dec 2019,3.94,Redundancy
Nov-Jan 2020,3.83,Redundancy
Dec-Feb 2020,3.85,Redundancy
Jan-Mar 2020,3.85,Redundancy
Feb-Apr 2020,3.86,Redundancy
Mar-May 2020,4.07,Redundancy
Apr-Jun 2020,4.74,Redundancy
May-Jul 2020,5.49,Redundancy
Jun-Aug 2020,8.17,Redundancy
Jul-Sep 2020,11.27,Redundancy
Aug-Oct 2020,13.29,Redundancy
Sep-Nov 2020,14.17,Redundancy
