year,driver,value
2020-12-01,Restaurants and hotels,0.01
2021-01-01,Restaurants and hotels,0.08
2021-02-01,Restaurants and hotels,0.05
2021-03-01,Restaurants and hotels,0.06
2021-04-01,Restaurants and hotels,0.04
2021-05-01,Restaurants and hotels,0.09
2021-06-01,Restaurants and hotels,0.14
2021-07-01,Restaurants and hotels,0.1
2021-08-01,Restaurants and hotels,0.65
2021-09-01,Restaurants and hotels,0.34
2021-10-01,Restaurants and hotels,0.43
2021-11-01,Restaurants and hotels,0.34
2021-12-01,Restaurants and hotels,0.41
2022-01-01,Restaurants and hotels,0.31
2020-01-01,Other goods and services,0.37
2020-02-01,Other goods and services,0.38
2020-03-01,Other goods and services,0.4
2020-04-01,Other goods and services,0.27
2020-05-01,Other goods and services,0.23
2020-06-01,Other goods and services,0.27
2020-07-01,Other goods and services,0.31
2020-08-01,Other goods and services,0.25
2020-09-01,Other goods and services,0.2
2020-10-01,Other goods and services,0.22
2020-11-01,Other goods and services,0.19
2020-12-01,Other goods and services,0.17
2021-01-01,Other goods and services,0.15
2021-02-01,Other goods and services,0.1
2021-03-01,Other goods and services,0.11
2021-04-01,Other goods and services,0.18
2021-05-01,Other goods and services,0.24
2021-06-01,Other goods and services,0.23
2021-07-01,Other goods and services,0.18
2021-08-01,Other goods and services,0.19
2021-09-01,Other goods and services,0.22
2021-10-01,Other goods and services,0.31
2021-11-01,Other goods and services,0.31
2021-12-01,Other goods and services,0.34
2022-01-01,Other goods and services,0.33
