date,metric,value,value2,metric2
1933,Nominal income ,1.97,null,Nominal income (forecast)
1934,Nominal income ,1.38,null,Nominal income (forecast)
1935,Nominal income ,4.54,null,Nominal income (forecast)
1936,Nominal income ,5.03,null,Nominal income (forecast)
1937,Nominal income ,3.57,null,Nominal income (forecast)
1938,Nominal income ,0.75,null,Nominal income (forecast)
1939,Nominal income ,6.14,null,Nominal income (forecast)
1940,Nominal income ,15.9,null,Nominal income (forecast)
1941,Nominal income ,10.62,null,Nominal income (forecast)
1942,Nominal income ,6.08,null,Nominal income (forecast)
1943,Nominal income ,2.81,null,Nominal income (forecast)
1944,Nominal income ,1.2,null,Nominal income (forecast)
1945,Nominal income ,0.29,null,Nominal income (forecast)
1946,Nominal income ,3.65,null,Nominal income (forecast)
1947,Nominal income ,8.01,null,Nominal income (forecast)
1948,Nominal income ,6.65,null,Nominal income (forecast)
1949,Nominal income ,4.57,null,Nominal income (forecast)
1950,Nominal income ,5.54,null,Nominal income (forecast)
1951,Nominal income ,8.73,null,Nominal income (forecast)
1952,Nominal income ,7.25,null,Nominal income (forecast)
1953,Nominal income ,6.95,null,Nominal income (forecast)
1954,Nominal income ,4.96,null,Nominal income (forecast)
1955,Nominal income ,8.13,null,Nominal income (forecast)
1956,Nominal income ,7.08,null,Nominal income (forecast)
1957,Nominal income ,4.74,null,Nominal income (forecast)
1958,Nominal income ,4.43,null,Nominal income (forecast)
1959,Nominal income ,5.78,null,Nominal income (forecast)
1960,Nominal income ,7.09,null,Nominal income (forecast)
1961,Nominal income ,6.53,null,Nominal income (forecast)
1962,Nominal income ,4.14,null,Nominal income (forecast)
1963,Nominal income ,5.2,null,Nominal income (forecast)
1964,Nominal income ,7.64,null,Nominal income (forecast)
1965,Nominal income ,6.88,null,Nominal income (forecast)
1966,Nominal income ,5.94,null,Nominal income (forecast)
1967,Nominal income ,3.9,null,Nominal income (forecast)
1968,Nominal income ,6.57,null,Nominal income (forecast)
1969,Nominal income ,6.69,null,Nominal income (forecast)
1970,Nominal income ,10.21,null,Nominal income (forecast)
1971,Nominal income ,9.87,null,Nominal income (forecast)
1972,Nominal income ,15.6,null,Nominal income (forecast)
1973,Nominal income ,16.07,null,Nominal income (forecast)
1974,Nominal income ,17.42,null,Nominal income (forecast)
1975,Nominal income ,24.47,null,Nominal income (forecast)
1976,Nominal income ,16.21,null,Nominal income (forecast)
1977,Nominal income ,13.07,null,Nominal income (forecast)
1978,Nominal income ,18,null,Nominal income (forecast)
1979,Nominal income ,20.41,null,Nominal income (forecast)
1980,Nominal income ,18.65,null,Nominal income (forecast)
1981,Nominal income ,11.86,null,Nominal income (forecast)
1982,Nominal income ,9.48,null,Nominal income (forecast)
1983,Nominal income ,8.48,null,Nominal income (forecast)
1984,Nominal income ,8.98,null,Nominal income (forecast)
1985,Nominal income ,8.53,null,Nominal income (forecast)
1986,Nominal income ,8.47,null,Nominal income (forecast)
1987,Nominal income ,6.58,null,Nominal income (forecast)
1988,Nominal income ,10.54,null,Nominal income (forecast)
1989,Nominal income ,10.77,null,Nominal income (forecast)
1990,Nominal income ,11.51,null,Nominal income (forecast)
1991,Nominal income ,9.15,null,Nominal income (forecast)
1992,Nominal income ,6.6,null,Nominal income (forecast)
1993,Nominal income ,5.88,null,Nominal income (forecast)
1994,Nominal income ,3.41,null,Nominal income (forecast)
1995,Nominal income ,5.66,null,Nominal income (forecast)
1996,Nominal income ,5.99,null,Nominal income (forecast)
1997,Nominal income ,4.02,null,Nominal income (forecast)
1998,Nominal income ,2.26,null,Nominal income (forecast)
1999,Nominal income ,4.78,null,Nominal income (forecast)
2000,Nominal income ,6.49,null,Nominal income (forecast)
2001,Nominal income ,3.59,null,Nominal income (forecast)
2002,Nominal income ,3.04,null,Nominal income (forecast)
2003,Nominal income ,2.68,null,Nominal income (forecast)
2004,Nominal income ,4.01,null,Nominal income (forecast)
2005,Nominal income ,4.1,null,Nominal income (forecast)
2006,Nominal income ,4.31,null,Nominal income (forecast)
2007,Nominal income ,4.92,null,Nominal income (forecast)
2008,Nominal income ,2.72,null,Nominal income (forecast)
2009,Nominal income ,1.68,null,Nominal income (forecast)
2010,Nominal income ,1.13,null,Nominal income (forecast)
2011,Nominal income ,1,null,Nominal income (forecast)
2012,Nominal income ,3.69,null,Nominal income (forecast)
2013,Nominal income ,3.28,null,Nominal income (forecast)
2014,Nominal income ,2.51,null,Nominal income (forecast)
2015,Nominal income ,5.25,null,Nominal income (forecast)
2016,Nominal income ,0.78,null,Nominal income (forecast)
2017,Nominal income ,2.07,null,Nominal income (forecast)
2018,Nominal income ,4.24,null,Nominal income (forecast)
2019,Nominal income ,2.13,null,Nominal income (forecast)
2020,Nominal income ,0.35,null,Nominal income (forecast)
2021,Nominal income ,3.39,null,Nominal income (forecast)
2022,Nominal income ,null,3.62,Nominal income (forecast)
