year,country,value,value2
2019,Belgium,0.034,3.376
2019,Bulgaria,0.003,0.307
2019,Cyprus,0.019,1.893
2019,Czech Republic,0.002,0.224
2019,Germany,0.212,21.167
2019,Denmark,0.003,0.341
2019,Estonia,0,0.008
2019,Spain,0.177,17.734
2019,Finland,0.003,0.323
2019,France,0.201,20.063
2019,Greece,0.109,10.923
2019,Croatia,0.002,0.185
2019,Hungary,0.001,0.069
2019,Ireland,0.007,0.686
2019,Italy,0.053,5.326
2019,Lithuania,0.001,0.083
2019,Luxembourg,0.003,0.309
2019,Latvia,0,0.019
2019,Malta,0.006,0.598
2019,Netherlands,0.033,3.285
2019,Poland,0.004,0.406
2019,Portugal,0.002,0.222
2019,Romania,0.004,0.356
2019,Sweden,0.033,3.309
2019,Slovenia,0.005,0.547
2019,Slovakia,0,0.029
2019,United Kingdom,0.066,6.599
2020,Austria,0.03,3.028
2020,Belgium,0.029,2.871
2020,Bulgaria,0.008,0.795
2020,Cyprus,0.015,1.546
2020,Czech Republic,0.002,0.162
2020,Germany,0.231,23.085
2020,Denmark,0.003,0.28
2020,Estonia,0,0.005
2020,Spain,0.204,20.357
2020,Finland,0.003,0.295
2020,France,0.181,18.069
2020,Greece,0.084,8.435
2020,Croatia,0.004,0.352
2020,Hungary,0,0.013
2020,Ireland,0.003,0.306
2020,Italy,0.049,4.931
2020,Lithuania,0.001,0.052
2020,Luxembourg,0.003,0.267
2020,Latvia,0,0.022
2020,Malta,0.005,0.537
2020,Netherlands,0.03,3.015
2020,Poland,0.003,0.329
2020,Portugal,0.002,0.171
2020,Romania,0.014,1.395
2020,Sweden,0.03,2.981
2020,Slovenia,0.008,0.802
2020,Slovakia,0.001,0.058
2020,United Kingdom,0.058,5.843
