date,value,group
2020-09-01,5.525,Retired
2020-10-01,-21.068,Retired
2020-11-01,-29.918,Retired
2020-12-01,-10.311,Retired
2021-01-01,-6.851,Retired
2021-02-01,17.892,Retired
2021-03-01,35.891,Retired
2021-04-01,56.584,Retired
2021-05-01,67.811,Retired
2021-06-01,80.747,Retired
2021-07-01,61.236,Retired
2021-08-01,68.590,Retired
2021-09-01,45.949,Retired
2021-10-01,34.727,Retired
2021-11-01,50.046,Retired
2021-12-01,58.592,Retired
2022-01-01,77.227,Retired
2022-02-01,53.575,Retired
2022-03-01,57.906,Retired
2022-04-01,63.174,Retired
2022-05-01,74.014,Retired
2022-06-01,74.226,Retired
2022-07-01,59.304,Retired
2022-08-01,34.611,Retired
2022-09-01,25.264,Retired
2022-10-01,7.405,Retired
2022-11-01,-15.409,Retired
2022-12-01,-11.999,Retired
2023-01-01,-12.066,Retired
2023-02-01,-38.769,Retired
2023-03-01,-47.469,Retired
2023-04-01,-45.429,Retired
2020-01-01,0.000,Other
2020-02-01,30.809,Other
2020-03-01,160.225,Other
2020-04-01,279.249,Other
2020-05-01,339.441,Other
2020-06-01,250.955,Other
2020-07-01,197.469,Other
2020-08-01,196.166,Other
2020-09-01,202.359,Other
2020-10-01,183.161,Other
2020-11-01,185.412,Other
2020-12-01,199.405,Other
2021-01-01,204.999,Other
2021-02-01,180.647,Other
2021-03-01,152.730,Other
2021-04-01,126.747,Other
2021-05-01,120.872,Other
2021-06-01,105.172,Other
2021-07-01,116.210,Other
2021-08-01,111.979,Other
2021-09-01,142.491,Other
2021-10-01,167.573,Other
2021-11-01,194.079,Other
2021-12-01,152.155,Other
2022-01-01,126.410,Other
2022-02-01,138.690,Other
2022-03-01,129.093,Other
2022-04-01,105.961,Other
2022-05-01,80.532,Other
2022-06-01,55.131,Other
2022-07-01,36.645,Other
2022-08-01,62.176,Other
2022-09-01,57.948,Other
2022-10-01,107.990,Other
2022-11-01,154.738,Other
2022-12-01,170.130,Other
2023-01-01,137.053,Other
2023-02-01,79.068,Other
2023-03-01,75.055,Other
2023-04-01,64.347,Other
